Occasion,Date,SEC,IND,PASS,VALID,SPE_COR,LEN_COR,WEIGH_COR,TAGID,RECAP_COR,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            
1,20150916,5,18,1,Y,BHC,75,4,a0982000403060191  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,19,1,Y,BHC,72,3.4,a0982000403060142  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,20,1,Y,BHC,110,13.3,a0982000403060141  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,21,1,Y,BHC,67,3.1,a0982000403060237  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,22,1,Y,BHC,84,7,a0982000403060223  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,23,1,Y,BHC,75,4.4,a0982000403060228  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,24,1,Y,BHC,58,2.4,a0982000403060212  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,25,1,Y,BHC,70,3.2,a0982000403060165  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,26,1,Y,BHC,70,3,a0982000403060149  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,27,1,Y,BHC,60,2.5,a0982000403060193  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,28,1,Y,BHC,65,2.9,a0982000403060146  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,29,1,Y,STJ,143,29,a0982000403060154  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,30,1,Y,BHC,100,9.3,a0982000403060175  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,31,1,Y,BHC,96,9.5,a0982000403060229  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,32,1,Y,BHC,63,2.6,a0982000403060207  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,33,1,Y,BHC,70,4,a0982000403060169  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,34,1,Y,BHC,76,5.3,a0982000403060199  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,35,1,Y,BHC,70,4.5,a0982000403060206  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,36,1,Y,BHC,70,3.7,a0982000403060204  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,37,1,Y,BHC,65,3.6,a0982000403060181  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,38,1,Y,BHC,90,7.4,a0982000403060202  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,39,1,Y,BHC,68,4,a0982000403060144  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,40,1,Y,BHC,69,3.7,a0982000403060203  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,41,1,Y,BHC,97,8.6,a0982000403060211  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,42,1,Y,BHC,65,2.8,a0982000403060187  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,43,1,Y,BHC,70,3.9,a0982000403060234  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,44,1,Y,BHC,100,10.4,a0982000403060166  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,45,1,Y,BHC,76,4.8,a0982000403060239  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,46,1,Y,BHC,85,6.2,a0982000403060231  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,47,1,Y,BHC,79,5,a0982000403060178  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,48,1,Y,BHC,80,5.5,a0982000403060189  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,49,1,Y,BHC,71,4.1,a0982000403060156  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,50,1,Y,BHC,62,3.1,a0982000403060188  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,51,1,Y,BHC,65,3.4,a0982000403060208  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,52,1,Y,BHC,77,4.3,a0982000403060177  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,53,1,Y,BHC,61,1.7,a0982000403060197  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,54,1,Y,BHC,67,3.3,a0982000403060195  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,55,1,Y,BHC,66,3,a0982000403060157  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,56,1,Y,BHC,61,2.9,a0982000403060158  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,57,2,Y,BHC,71,3.4,a0982000403060152  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,58,2,Y,BHC,68,3.2,a0982000403060198  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,59,2,Y,BHC,63,2.7,a0982000403060226  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,60,2,Y,BHC,69,3.3,a0982000403060143  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,61,2,Y,BHC,66,3.6,a0982000403060153  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,62,2,Y,BHC,105,11.7,a0900067000077407  ,N     ,N     ,N     ,N,PREGLER   ,
