Date,st_occation,end_occation,Todd_WL,Indian_WL
2016/5/22,5 ,6 ,0.284,0.175
2016/5/23,5 ,6 ,0.277,0.173
2016/5/24,5 ,6 ,0.275,0.171
2016/5/25,5 ,6 ,0.274,0.171
2016/5/26,5 ,6 ,0.273,0.172
2016/5/27,5 ,6 ,0.272,0.173
2016/5/28,5 ,6 ,0.27,0.168
2016/5/29,5 ,6 ,0.274,0.173
2016/5/30,5 ,6 ,0.282,0.176
2016/5/31,5 ,6 ,0.28,0.178
2016/6/1,5 ,6 ,0.271,0.181
2016/6/2,5 ,6 ,0.278,0.186
2016/6/3,5 ,6 ,0.277,0.185
2016/6/4,5 ,6 ,0.274,0.189
2016/6/5,5 ,6 ,0.274,0.195
2016/6/6,5 ,6 ,0.305,0.203
2016/6/7,5 ,6 ,0.286,0.195
2016/6/8,5 ,6 ,0.27,0.188
2016/6/9,5 ,6 ,0.267,0.188
2016/6/10,5 ,6 ,0.267,0.187
2016/6/11,5 ,6 ,0.264,0.184
2016/6/12,5 ,6 ,0.263,0.182
2016/6/13,5 ,6 ,0.261,0.182
2016/6/14,5 ,6 ,0.26,0.182
2016/6/15,5 ,6 ,0.26,0.18
2016/6/16,5 ,6 ,0.258,0.177
2016/6/17,5 ,6 ,0.254,0.176
2016/6/18,5 ,6 ,0.251,0.174
2016/6/19,5 ,6 ,0.251,0.172
2016/6/20,5 ,6 ,0.25,0.171
2016/6/21,5 ,6 ,0.25,0.172
2016/6/22,5 ,6 ,0.249,0.171
2016/6/23,5 ,6 ,0.247,0.17
2016/6/24,5 ,6 ,0.243,0.167
2016/6/25,5 ,6 ,0.242,0.165
2016/6/26,5 ,6 ,0.244,0.166
2016/6/27,5 ,6 ,0.246,0.171
2016/6/28,5 ,6 ,0.252,0.176
2016/6/29,5 ,6 ,0.246,0.169
2016/6/30,5 ,6 ,0.25,0.167
2016/7/1,5 ,6 ,0.25,0.169
2016/7/2,5 ,6 ,0.243,0.166
2016/7/3,5 ,6 ,0.241,0.166
2016/7/4,5 ,6 ,0.24,0.166
2016/7/5,5 ,6 ,0.238,0.165
2016/7/6,5 ,6 ,0.237,0.162
2016/7/7,5 ,6 ,0.244,0.173
2016/7/8,5 ,6 ,0.244,0.171
2016/7/9,6 ,7 ,0.241,0.17
2016/7/10,6 ,7 ,0.24,0.169
2016/7/11,6 ,7 ,0.244,0.173
2016/7/12,6 ,7 ,0.247,0.177
2016/7/13,6 ,7 ,0.24,0.17
2016/7/14,6 ,7 ,0.239,0.17
2016/7/15,6 ,7 ,0.241,0.172
2016/7/16,6 ,7 ,0.254,0.176
2016/7/17,6 ,7 ,0.246,0.174
2016/7/18,6 ,7 ,0.245,0.174
2016/7/19,6 ,7 ,0.244,0.171
2016/7/20,6 ,7 ,0.24,0.166
2016/7/21,6 ,7 ,0.238,0.164
2016/7/22,6 ,7 ,0.238,0.163
2016/7/23,6 ,7 ,0.24,0.163
2016/7/24,6 ,7 ,0.241,0.164
2016/7/25,6 ,7 ,0.247,0.164
2016/7/26,6 ,7 ,0.297,0.168
