Date,Todd_WL,Indian_WL
8/5/2016,0.266,0.178
8/6/2016,0.255,0.174
8/7/2016,0.258,0.18
8/8/2016,0.276,0.187
8/9/2016,0.282,0.185
8/10/2016,0.267,0.176
8/11/2016,0.265,0.179
8/12/2016,0.28,0.181
8/13/2016,0.265,0.173
8/14/2016,0.257,0.169
8/15/2016,0.253,0.167
8/16/2016,0.251,0.167
8/17/2016,0.251,0.166
8/18/2016,0.272,0.168
8/19/2016,0.257,0.171
8/20/2016,0.263,0.174
8/21/2016,0.264,0.174
8/22/2016,0.255,0.169
8/23/2016,0.251,0.164
8/24/2016,0.328,0.188
8/25/2016,0.279,0.173
8/26/2016,0.264,0.17
8/27/2016,0.265,0.168
8/28/2016,0.273,0.167
8/29/2016,0.258,0.164
8/30/2016,0.253,0.163
8/31/2016,0.253,0.163
9/1/2016,0.251,0.164
9/2/2016,0.251,0.166
9/3/2016,0.249,0.164
9/4/2016,0.247,0.162
9/5/2016,0.247,0.164
9/6/2016,0.244,0.162
9/7/2016,0.242,0.161
9/8/2016,0.242,0.161
9/9/2016,0.239,0.159
9/10/2016,0.236,0.158
9/11/2016,0.236,0.161
9/12/2016,0.236,0.16
9/13/2016,0.235,0.159
9/14/2016,0.233,0.157
9/15/2016,0.232,0.156
9/16/2016,0.232,0.156
9/17/2016,0.23,0.156
9/18/2016,0.231,0.16
9/19/2016,0.233,0.161
9/20/2016,0.228,0.156
9/21/2016,0.226,0.154
9/22/2016,0.224,0.158
9/23/2016,0.226,0.161
9/24/2016,0.223,0.162
9/25/2016,0.223,0.165
9/26/2016,0.231,0.177
9/27/2016,0.249,0.183
9/28/2016,0.24,0.176
9/29/2016,0.235,0.17
9/30/2016,0.234,0.167
10/1/2016,0.235,0.167
10/2/2016,0.235,0.168
10/3/2016,0.235,0.168
10/4/2016,0.232,0.165
10/5/2016,0.23,0.166
10/6/2016,0.23,0.164
10/7/2016,0.237,0.173
10/8/2016,0.237,0.173
10/9/2016,0.229,0.166
10/10/2016,0.227,0.163
10/11/2016,0.228,0.163
10/12/2016,0.229,0.165
10/13/2016,0.229,0.165
10/14/2016,0.23,0.166
10/15/2016,0.228,0.168
10/16/2016,0.229,0.169
10/17/2016,0.228,0.17
10/18/2016,0.228,0.169
10/19/2016,0.227,0.17
10/20/2016,0.226,0.17
10/21/2016,0.223,0.167
10/22/2016,0.221,0.169
10/23/2016,0.223,0.17
10/24/2016,0.223,0.169
10/25/2016,0.224,0.169
10/26/2016,0.228,0.168
10/27/2016,0.229,0.168
10/28/2016,0.23,0.168
10/29/2016,0.228,0.168
10/30/2016,0.229,0.168
10/31/2016,0.229,0.167
11/1/2016,0.232,0.166
11/2/2016,0.231,0.165
11/3/2016,0.229,0.166
11/4/2016,0.229,0.165
11/5/2016,0.225,0.164
11/6/2016,0.228,0.166
11/7/2016,0.226,0.164
11/8/2016,0.225,0.165
11/9/2016,0.231,0.165
11/10/2016,0.227,0.165
11/11/2016,0.229,0.165
11/12/2016,0.229,0.165
11/13/2016,0.229,0.165
11/14/2016,0.231,0.165
11/15/2016,0.23,0.165
11/16/2016,0.231,0.165
11/17/2016,0.231,0.165
11/18/2016,0.232,0.165
11/19/2016,0.232,0.165
11/20/2016,0.232,0.165
11/21/2016,0.233,0.166
11/22/2016,0.234,0.166
11/23/2016,0.234,0.165
11/24/2016,0.236,0.164
11/25/2016,0.236,0.165
11/26/2016,0.234,0.193
11/27/2016,0.232,0.19
11/28/2016,0.234,0.181
11/29/2016,0.317,0.17
11/30/2016,0.307,0.167
12/1/2016,0.281,0.174
12/2/2016,0.249,0.178
12/3/2016,0.241,0.181
12/4/2016,0.261,0.176
12/5/2016,0.272,0.17
12/6/2016,0.283,0.166
12/7/2016,0.267,0.165
12/8/2016,0.25,0.164
12/9/2016,0.238,0.166
12/10/2016,0.234,0.166
12/11/2016,0.233,0.166
12/12/2016,0.238,0.164
12/13/2016,0.239,0.162
12/14/2016,0.239,0.163
12/15/2016,0.233,0.165
12/16/2016,0.227,0.164
12/17/2016,0.231,0.163
12/18/2016,0.237,0.162
12/19/2016,0.232,0.163
12/20/2016,0.229,0.162
12/21/2016,0.228,0.164
12/22/2016,0.231,0.163
12/23/2016,0.228,0.164
12/24/2016,0.232,0.164
12/25/2016,0.23,0.164
12/26/2016,0.232,0.176
12/27/2016,0.234,0.166
12/28/2016,0.232,0.164
12/29/2016,0.269,0.167
12/30/2016,0.239,0.18
12/31/2016,0.232,0.196
1/1/2017,0.243,0.179
1/2/2017,0.281,0.173
1/3/2017,0.327,0.172
1/4/2017,0.276,0.173
1/5/2017,0.259,0.17
1/6/2017,0.255,0.169
1/7/2017,0.259,0.168
1/8/2017,0.252,0.17
1/9/2017,0.248,0.17
1/10/2017,0.246,0.169
1/11/2017,0.25,0.168
1/12/2017,0.251,0.169
1/13/2017,0.249,0.168
1/14/2017,0.246,0.169
1/15/2017,0.248,0.168
1/16/2017,0.245,0.167
1/17/2017,0.247,0.171
1/18/2017,0.244,0.19
1/19/2017,0.242,0.202
1/20/2017,0.253,0.209
1/21/2017,0.31,0.188
1/22/2017,0.344,0.181
1/23/2017,0.366,0.178
1/24/2017,0.304,0.173
1/25/2017,0.282,0.171
1/26/2017,0.273,0.169
1/27/2017,0.26,0.168
1/28/2017,0.253,0.169
1/29/2017,0.248,0.169
1/30/2017,0.246,0.169
1/31/2017,0.247,0.168
2/1/2017,0.248,0.165
2/2/2017,0.247,0.165
2/3/2017,0.246,0.166
2/4/2017,0.237,0.168
2/5/2017,0.237,0.172
2/6/2017,0.238,0.171
2/7/2017,0.245,0.166
2/8/2017,0.257,0.167
2/9/2017,0.255,0.168
2/10/2017,0.24,0.166
2/11/2017,0.241,0.165
2/12/2017,0.245,0.171
2/13/2017,0.239,0.168
2/14/2017,0.237,0.167
2/15/2017,0.255,0.167
2/16/2017,0.244,0.166
2/17/2017,0.241,0.165
2/18/2017,0.241,0.165
2/19/2017,0.24,0.167
2/20/2017,0.237,0.166
2/21/2017,0.237,0.165
2/22/2017,0.243,0.165
2/23/2017,0.239,0.163
2/24/2017,0.237,0.163
2/25/2017,0.236,0.164
2/26/2017,0.229,0.167
2/27/2017,0.229,0.168
2/28/2017,0.234,0.164
3/1/2017,0.242,0.164
3/2/2017,0.246,0.165
3/3/2017,0.234,0.165
3/4/2017,0.233,0.165
3/5/2017,0.237,0.167
3/6/2017,0.235,0.163
3/7/2017,0.237,0.167
3/8/2017,0.242,0.164
3/9/2017,0.231,0.169
3/10/2017,0.242,0.167
3/11/2017,0.232,0.168
3/12/2017,0.248,0.165
3/13/2017,0.241,0.165
3/14/2017,0.244,0.166
3/15/2017,0.236,0.166
3/16/2017,0.235,0.165
3/17/2017,0.238,0.165
3/18/2017,0.239,0.17
3/19/2017,0.235,0.176
3/20/2017,0.235,0.168
3/21/2017,0.25,0.168
3/22/2017,0.268,0.167
3/23/2017,0.246,0.17
3/24/2017,0.245,0.168
3/25/2017,0.243,0.174
3/26/2017,0.251,0.169
3/27/2017,0.245,0.168
3/28/2017,0.261,0.171
3/29/2017,0.248,0.168
3/30/2017,0.244,0.169
3/31/2017,0.254,0.193
4/1/2017,0.246,0.188
4/2/2017,0.248,0.196
4/3/2017,0.319,0.22
4/4/2017,0.302,0.196
4/5/2017,0.328,0.181
4/6/2017,0.397,0.176
4/7/2017,0.326,0.174
4/8/2017,0.283,0.172
4/9/2017,0.268,0.172
4/10/2017,0.263,0.171
4/11/2017,0.258,0.17
4/12/2017,0.256,0.171
4/13/2017,0.254,0.169
4/14/2017,0.252,0.168
4/15/2017,0.247,0.169
