"","Y","Yrecap","DL","UL","IND_ID","Period","St_occ","End_occ"
"117",NA,0,-20,6,117,1,3,4
"123",NA,0,-20,6,123,1,3,4
"124",NA,0,-16,10,124,1,3,4
"126",NA,0,-19,7,126,1,3,4
"127",NA,0,-20,6,127,1,3,4
"129",-1,1,-23,3,129,1,3,4
"131",12,1,-11,15,131,1,3,4
"134",NA,0,-22,4,134,1,3,4
"135",NA,0,-7,19,135,1,3,4
"137",NA,0,-7,19,137,1,3,4
"145",NA,0,-14,12,145,1,3,4
"151",NA,0,-7,19,151,1,3,4
"153",0,1,-23,3,153,1,3,4
"155",NA,0,-9,17,155,1,3,4
"158",NA,0,-11,15,158,1,3,4
"159",NA,0,-7,19,159,1,3,4
"160",NA,0,-4,22,160,1,3,4
"162",NA,0,-7,19,162,1,3,4
"164",NA,0,-6,20,164,1,3,4
"166",NA,0,-7,19,166,1,3,4
"169",NA,0,-7,19,169,1,3,4
"170",NA,0,-7,19,170,1,3,4
"172",NA,0,-9,17,172,1,3,4
"173",NA,0,-7,19,173,1,3,4
"175",NA,0,-5,21,175,1,3,4
"176",NA,0,-5,21,176,1,3,4
"178",NA,0,-22,4,178,1,3,4
"179",NA,0,-7,19,179,1,3,4
"180",NA,0,-7,19,180,1,3,4
"182",NA,0,-7,19,182,1,3,4
"184",NA,0,-10,16,184,1,3,4
"185",1,1,-22,4,185,1,3,4
"186",-3,1,-10,16,186,1,3,4
"187",NA,0,-23,3,187,1,3,4
"188",NA,0,-7,19,188,1,3,4
"190",NA,0,-23,3,190,1,3,4
"191",NA,0,-7,19,191,1,3,4
"192",NA,0,-18,8,192,1,3,4
"193",NA,0,-20,6,193,1,3,4
"195",NA,0,-17,9,195,1,3,4
"197",NA,0,-15,11,197,1,3,4
"198",NA,0,-16,10,198,1,3,4
"199",NA,0,-23,3,199,1,3,4
"200",NA,0,-18,8,200,1,3,4
"201",NA,0,-15,11,201,1,3,4
"203",NA,0,-22,4,203,1,3,4
"204",NA,0,-18,8,204,1,3,4
"205",NA,0,-7,19,205,1,3,4
"208",NA,0,-7,19,208,1,3,4
"210",NA,0,-10,16,210,1,3,4
"212",NA,0,-9,17,212,1,3,4
"213",NA,0,-7,19,213,1,3,4
"216",NA,0,-10,16,216,1,3,4
"607",-4,1,-11,15,607,1,3,4
"610",NA,0,-6,20,610,1,3,4
"613",NA,0,-14,12,613,1,3,4
"614",NA,0,-7,19,614,1,3,4
"616",NA,0,-7,19,616,1,3,4
"619",NA,0,-6,20,619,1,3,4
"628",NA,0,-15,11,628,1,3,4
"629",NA,0,-7,19,629,1,3,4
"633",NA,0,-7,19,633,1,3,4
"636",NA,0,-7,19,636,1,3,4
"645",NA,0,-5,21,645,1,3,4
"653",NA,0,-7,19,653,1,3,4
"656",NA,0,-20,6,656,1,3,4
"854",-8,1,-24,2,111,2,4,5
"855",-7,1,-24,2,112,2,4,5
"856",NA,0,-18,8,113,2,4,5
"858",NA,0,-18,8,115,2,4,5
"859",-7,1,-24,2,116,2,4,5
"862",NA,0,-15,11,119,2,4,5
"863",NA,0,-17,9,120,2,4,5
"865",NA,0,-19,7,122,2,4,5
"872",-8,1,-22,4,129,2,4,5
"873",NA,0,-16,10,130,2,4,5
"874",-10,1,-23,3,131,2,4,5
"876",NA,0,-24,2,133,2,4,5
"881",NA,0,-7,19,138,2,4,5
"882",NA,0,-6,20,139,2,4,5
