"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,17543,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,17475,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,17475,NA,17594
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17422,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,17475,NA,17592
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,17475,NA,17594
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,17475,17543,17592
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,17473,NA,17594
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17422,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17422,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,17475,17543,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17422,NA,17549,17594
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,17592
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,17475,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17422,17475,17549,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,17475,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,17473,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17417,NA,NA,NA
"103",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,16989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,16990,17055,NA,17171,NA,NA,NA,NA,NA,NA,NA
"108",16810,16866,16933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,16989,17055,17114,17171,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,16989,NA,NA,17171,NA,NA,17352,NA,NA,NA,17594
"114",16810,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",16810,16866,16933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",16810,NA,NA,16989,NA,17114,NA,17228,17300,NA,NA,NA,NA,NA
"118",NA,16866,NA,NA,NA,NA,17171,17232,NA,NA,NA,NA,NA,NA
"119",NA,16866,NA,NA,NA,17114,17171,NA,17300,NA,NA,NA,NA,17592
"120",NA,NA,16934,NA,17055,17114,17171,NA,NA,NA,17419,17475,17545,NA
"121",16808,NA,NA,NA,17055,17114,17171,17228,NA,NA,NA,NA,NA,NA
"122",16810,NA,NA,16990,17056,NA,NA,17235,NA,17354,NA,NA,NA,NA
"123",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",16810,NA,16934,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",16808,NA,16933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",16810,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,16864,NA,NA,17055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",16810,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",16808,16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",16808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",16810,16870,16934,NA,NA,NA,17172,NA,NA,17354,NA,NA,NA,NA
"136",16810,16866,16934,16990,17056,17116,NA,17235,NA,17354,NA,17476,17549,17594
"137",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",16810,NA,16934,16990,NA,17114,17171,17228,17300,NA,NA,NA,NA,NA
"139",16810,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,16864,NA,16989,NA,17109,17171,NA,NA,17352,NA,NA,NA,NA
"141",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",16810,NA,NA,NA,17055,17114,NA,NA,17298,NA,NA,NA,NA,NA
"143",16808,16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",16810,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"145",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",16810,NA,NA,16989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",16808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
