"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,17605
"884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,17604
"888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,17605
"891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,17604
"892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484,17550,17604
"896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,17605
"898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,17605
"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,NA
"903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,17604
"907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,NA
"910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,17605
"911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,17604
"915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,17604
"919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17555,NA
"926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,NA
"927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,17552,NA
"929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,17605
"930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,17604
"931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17484,NA,17603
"933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,NA
"934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,17604
"936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,NA,NA
"937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17550,NA
"938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17603
"941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,NA
"964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555,17604
"965",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"966",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"967",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"968",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,NA,NA
"969",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,NA,NA,NA
"970",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"971",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"972",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"973",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"974",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17552,NA
"975",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"976",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"977",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,NA,NA
"978",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17485,NA,NA
"979",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17480,NA,17604
"980",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"981",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"982",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,NA,NA
"983",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,NA,NA
"984",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17552,17603
"986",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17485,NA,NA
"987",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17480,17552,NA
"989",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"990",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,17552,NA
"991",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17424,NA,NA,17605
"992",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17426,NA,NA,NA
"993",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"994",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"995",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"996",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"997",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,17550,NA
"998",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"999",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17424,NA,NA,NA
"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1002",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1004",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,17484,17550,17604
"1006",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,NA,NA
"1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17424,NA,NA,NA
"1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1009",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,17604
"1010",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17552,NA
"1011",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1012",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,17552,NA
"1013",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1014",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17485,17550,17604
"1015",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1016",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1017",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,17485,NA,17603
"1018",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1019",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,NA,NA
"1020",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1021",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,17480,17550,NA
"1022",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1023",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1024",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,17552,NA
"1025",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,NA,17604
"1026",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17426,NA,NA,NA
"1027",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,NA,NA,NA
"1028",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17485,17552,17603
"1029",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,17550,NA
"1030",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1031",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,17605
"1032",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,17552,NA
"1033",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,NA
"1034",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1035",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17426,NA,17550,NA
"1036",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,17552,NA
"1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,NA,17605
"1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,17485,NA,NA
"1039",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,NA,NA
"1041",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1042",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,NA,NA
"1043",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,17555,NA
"1044",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17426,NA,NA,NA
"1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1046",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1047",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,17552,17603
"1048",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1049",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,17605
"1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17552,NA
"1051",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,NA,NA
"1052",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,17605
"1053",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1054",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17555,17603
"1055",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,NA
"1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1057",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,17605
"1058",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,17484,17555,17604
"1061",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17484,NA,NA
"1062",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,NA,NA,NA
"1063",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1064",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,17484,NA,NA
"1065",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1066",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1067",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1068",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1069",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,17482,NA,17605
"1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,NA,NA
"1071",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1072",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,17555,NA
"1073",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1074",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1076",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,17550,17604
"1077",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1078",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,NA,NA
"1079",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,NA,NA,NA
"1081",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,NA
"1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1083",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1084",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1085",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1086",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,NA,NA,17604
"1087",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1088",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1089",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17552,NA
"1090",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17484,17555,17604
"1091",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17426,NA,NA,NA
"1092",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,NA
"1093",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1094",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17424,17482,17552,17605
"1095",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1096",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1097",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1098",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,NA
"1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1101",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1102",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1103",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,17552,NA
"1104",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1105",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,17480,NA,NA
"1106",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17424,NA,NA,NA
"1107",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,NA,NA
"1108",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,17604
"1109",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17550,17604
"1110",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1111",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1112",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,17552,17603
"1113",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1114",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,17482,17552,NA
"1115",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1116",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17552,NA
"1117",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,17603
"1118",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,NA,NA,NA
"1119",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1121",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17426,NA,NA,NA
"1122",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1123",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,17428,NA,NA,NA
"1124",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,NA,NA
"1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,NA,17603
"1126",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1127",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1128",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1129",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17424,17482,17552,17605
"1130",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,17550,NA
"1132",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1133",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1134",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1135",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17480,NA,17604
"1136",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1137",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,17482,NA,NA
"1138",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,17424,NA,NA,NA
"1139",NA,NA,NA,NA,NA,NA,NA,NA,NA,17356,NA,NA,NA,NA
"1140",NA,NA,NA,NA,NA,NA,NA,NA,NA,17357,NA,NA,NA,NA
"1141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17424,NA,NA,NA
"1142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17482,17552,17603
"1143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,17484,17555,NA
"1144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,17550,17604
"1145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17424,17482,17552,17605
"1146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,NA,NA
"1147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,NA,17604
"1148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,NA,NA,NA
"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,NA,NA,NA
"1151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,17550,17604
"1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17424,NA,17552,NA
"1153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,NA,17604
"1155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,17480,NA,NA
"1156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,NA,17604
"1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17482,NA,NA
"1159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,NA,17555,17604
"1164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,17604
"1165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,NA,NA
"1167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,17550,17604
"1169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17482,NA,17603
"1170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,NA,NA,NA
"1171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482,NA,NA
"1172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17484,NA,17604
"1174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,NA,NA,17604
"1177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17424,NA,NA,NA
"1178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,17550,NA
"1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17428,17484,NA,NA
"1181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,17552,NA
"1183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,17480,17550,17604
"1184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,17603
"1185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,NA,NA
"1186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17426,NA,17550,NA
