"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"630",156,NA,0,-34,3,142,"a0900067000080499  ",2,4,5
"631",157,NA,0,-13,24,63,"a0900067000080507  ",2,4,5
"632",158,NA,0,-20,17,65,"a0900067000080512  ",2,4,5
"633",159,NA,0,-22,15,54,"a0900067000080526  ",2,4,5
"634",160,NA,0,-24,13,82,"a0900067000080571  ",2,4,5
"635",161,0,1,-21,16,63,"a0900067000080608  ",2,4,5
"636",162,NA,0,-27,10,112,"a0900067000080629  ",2,4,5
"637",163,NA,0,-14,23,47,"a0900067000080642  ",2,4,5
"638",164,NA,0,-5,32,47,"a0900067000080670  ",2,4,5
"639",165,NA,0,-14,23,59,"a0900067000080713  ",2,4,5
"640",166,NA,0,-13,24,57,"a0900067000080748  ",2,4,5
"641",167,NA,0,-19,18,62,"a0900067000080758  ",2,4,5
"642",168,NA,0,-26,11,105,"a0900067000080759  ",2,4,5
"643",169,NA,0,-22,15,71,"a0900067000080786  ",2,4,5
"644",170,NA,0,-23,14,61,"a0900067000080794  ",2,4,5
"645",171,NA,0,-19,18,63,"a0900067000080802  ",2,4,5
"646",172,NA,0,-23,14,61,"a0900067000080809  ",2,4,5
"647",173,NA,0,-14,23,60,"a0900067000080828  ",2,4,5
"648",174,-1,1,-12,25,89,"a0900067000080879  ",2,4,5
"649",175,NA,0,-18,19,65,"a0900067000080911  ",2,4,5
"650",176,NA,0,-10,27,53,"a0900067000080916  ",2,4,5
"651",177,NA,0,-24,13,58,"a0900067000080968  ",2,4,5
"652",178,NA,0,-16,21,69,"a0900067000085014  ",2,4,5
"657",183,NA,0,-33,4,72,"a0900067000085079  ",2,4,5
"658",184,1,1,-23,14,140,"a0900067000085085  ",2,4,5
"664",190,1,1,-30,7,131,"a0900067000085180  ",2,4,5
"665",191,NA,0,-15,22,64,"a0900067000085188  ",2,4,5
"667",193,NA,0,-20,17,56,"a0900067000085232  ",2,4,5
"676",202,NA,0,-34,3,137,"a0900067000085392  ",2,4,5
"678",204,NA,0,-18,19,108,"a0900067000085435  ",2,4,5
"679",205,NA,0,-31,6,58,"a0900067000085436  ",2,4,5
"681",207,NA,0,-24,13,69,"a0900067000085454  ",2,4,5
"682",208,NA,0,-25,12,81,"a0900067000085460  ",2,4,5
"683",209,NA,0,-22,15,118,"a0900067000085479  ",2,4,5
"684",210,NA,0,-27,10,121,"a0900067000085489  ",2,4,5
"811",337,NA,0,-13,24,103,"a0982000403060052  ",2,4,5
"813",339,NA,0,-8,29,77,"a0982000403060055  ",2,4,5
"815",341,NA,0,-13,24,78,"a0982000403060058  ",2,4,5
"818",344,NA,0,-29,8,70,"a0982000403060103  ",2,4,5
"820",346,2,1,-5,32,69,"a0982000403060107  ",2,4,5
"823",349,NA,0,-14,23,67,"a0982000403060114  ",2,4,5
"824",350,NA,0,-12,25,80,"a0982000403060116  ",2,4,5
"825",351,NA,0,-12,25,79,"a0982000403060137  ",2,4,5
"829",355,NA,0,-1,36,71,"a0982000403060452  ",2,4,5
"835",361,-1,1,-16,21,112,"a0982000403060478  ",2,4,5
"836",362,NA,0,-7,30,76,"a0982000403060485  ",2,4,5
"838",364,NA,0,-13,24,66,"a0982000403060488  ",2,4,5
"840",366,NA,0,-7,30,106,"a0982000403060507  ",2,4,5
"887",413,NA,0,-34,3,66,"a0982000407050849  ",2,4,5
"888",414,NA,0,-34,3,63,"a0982000407050862  ",2,4,5
