Stream,Date,Section,Transcet,Width,Depth1,Depth2,Depth3,Substrate1,Substrate2,Substrate3,Veg_Left_UP,Veg_Left_DN,Veg_Rig_UP,Veg_Rig_DN,Deepest_Point,Section_Len,Pool,Riffle,Run,Undercut_length,Undercut_depth
Todd,20171027,18,1,1.6,13,16,17,G,C,C,0,0,0,0,37,22,0,5,17,0,0
Todd,20171027,18,2,3.2,11,11,9,C,C,C,0,0,0,0,37,22,0,5,17,0,0
Todd,20171027,18,3,2.7,9,14,20,B,C,C,0,0,1,1,37,22,0,5,17,0,0
Todd,20171027,19,1,2.6,20,21,32,C,G,G,0,1,1,1,33,22,0,6,16,0,0
Todd,20171027,19,2,2.8,20,22,33,B,C,C,0,1,1,1,33,22,0,6,16,0,0
Todd,20171027,19,3,3.4,16,12,14,C,B,C,0,0,0,0,33,22,0,6,16,0,0
Todd,20171027,20,1,3.6,13,17,11,B,B,B,0,0,0,0,24,22,0,13,9,0,0
Todd,20171027,20,2,2.8,12,11,14,C,B,C,0,0,0,0,24,22,0,13,9,0,0
Todd,20171027,20,3,2.2,20,14,11,B,C,B,0,1,1,0,24,22,0,13,9,0,0
Todd,20171027,21,1,3.1,33,31,25,G,C,C,0,0,1,0,37,20,6,6,8,0,0
Todd,20171027,21,2,2.7,20,24,21,G,C,C,0,0,0,0,37,20,6,6,8,0,0
Todd,20171027,21,3,2.8,19,23,12,C,B,B,0,1,0,0,37,20,6,6,8,0,0
Todd,20171027,22,1,2.6,34,22,10,B,B,C,0,0,0,0,41,25,8,5,12,0,0
Todd,20171027,22,2,2.6,12,24,26,C,C,C,0,0,1,1,41,25,8,5,12,0,0
Todd,20171027,22,3,3.2,35,27,25,S,B,B,0,0,0,0,41,25,8,5,12,0,0
Todd,20171027,23,1,2.7,12,12,12,B,B,C,0,0,0,0,28,25,0,14,11,0,0
Todd,20171027,23,2,2.7,22,17,16,B,B,C,0,1,0,0,28,25,0,14,11,0,0
Todd,20171027,23,3,2.8,19,10,17,B,B,B,1,0,0,0,28,25,0,14,11,0,0
Todd,20171027,24,1,2.8,21,27,30,B,C,B,0,0,0,1,56,20,7,0,13,0,0
Todd,20171027,24,2,2.8,34,29,45,B,B,B,0,0,0,0,56,20,7,0,13,0,0
Todd,20171027,24,3,2,40,40,31,C,C,C,0,0,1,0,56,20,7,0,13,0,0
Todd,20171027,25,1,2.2,19,22,21,B,C,C,0,0,1,0,33,19,0,10,9,0,0
Todd,20171027,25,2,2.8,14,19,14,B,B,G,1,1,0,0,33,19,0,10,9,0,0
Todd,20171027,25,3,2.9,17,12,15,C,B,B,0,0,0,0,33,19,0,10,9,0,0
Todd,20171027,26,1,3.2,23,34,28,C,G,G,0,0,0,0,60,27,20,5,2,0,0
Todd,20171027,26,2,1.5,5,23,17,BR,C,C,0,0,0,0,60,27,20,5,2,0,0
Todd,20171027,26,3,3.7,54,58,41,B,B,B,0,0,1,0,60,27,20,5,2,0,0
