"","ID","IND_ID","Y","Yrecap","Sec_cap","Sec_recap","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year"
"241",241,"a0900067000080442  ",NA,0,33,NA,92,NA,1,NA,16810,1,2016,NA,NA,NA
"242",242,"a0900067000080455  ",NA,0,25,NA,94,NA,1,NA,16810,1,2016,NA,NA,NA
"243",243,"a0900067000080457  ",0,1,29,29,82,81,1,56,16810,1,2016,16866,3,2016
"244",244,"a0900067000080460  ",NA,0,29,NA,75,NA,1,NA,16810,1,2016,NA,NA,NA
"268",268,"a0900067000085011  ",NA,0,34,NA,106,NA,1,NA,16810,1,2016,NA,NA,NA
"274",274,"a0900067000085060  ",NA,0,24,NA,86,NA,1,NA,16810,1,2016,NA,NA,NA
"275",275,"a0900067000085075  ",NA,0,27,NA,121,NA,1,NA,16810,1,2016,NA,NA,NA
"282",282,"a0900067000085197  ",0,1,19,19,81,89,1,56,16810,1,2016,16866,3,2016
"283",283,"a0900067000085199  ",NA,0,29,NA,85,NA,1,NA,16810,1,2016,NA,NA,NA
"285",285,"a0900067000085211  ",NA,0,34,NA,80,NA,1,NA,16810,1,2016,NA,NA,NA
"286",286,"a0900067000085212  ",NA,0,24,NA,142,NA,1,NA,16810,1,2016,NA,NA,NA
"288",288,"a0900067000085250  ",-1,1,28,27,151,157,1,56,16810,1,2016,16866,3,2016
"292",292,"a0900067000085328  ",NA,0,29,NA,100,NA,1,NA,16810,1,2016,NA,NA,NA
"293",293,"a0900067000085343  ",0,1,26,26,90,92,1,56,16810,1,2016,16866,3,2016
"294",294,"a0900067000085348  ",NA,0,19,NA,113,NA,1,NA,16810,1,2016,NA,NA,NA
"295",295,"a0900067000085349  ",0,1,29,29,81,80,1,56,16810,1,2016,16866,3,2016
"296",296,"a0900067000085360  ",NA,0,29,NA,97,NA,1,NA,16810,1,2016,NA,NA,NA
"298",298,"a0900067000085374  ",NA,0,28,NA,124,NA,1,NA,16810,1,2016,NA,NA,NA
"299",299,"a0900067000085377  ",NA,0,27,NA,132,NA,1,NA,16810,1,2016,NA,NA,NA
"302",302,"a0900067000085413  ",NA,0,23,NA,110,NA,1,NA,16810,1,2016,NA,NA,NA
"304",304,"a0900067000085437  ",NA,0,34,NA,161,NA,1,NA,16810,1,2016,NA,NA,NA
"305",305,"a0900067000085440  ",NA,0,27,NA,127,NA,1,NA,16810,1,2016,NA,NA,NA
"549",549,"a0982000403060049  ",0,1,12,12,147,141,1,54,16810,1,2016,16864,3,2016
"925",197,"a0900067000077027  ",NA,0,20,NA,81,NA,2,NA,16866,3,2016,NA,NA,NA
"927",199,"a0900067000077029  ",NA,0,18,NA,126,NA,2,NA,16866,3,2016,NA,NA,NA
"931",203,"a0900067000077209  ",NA,0,37,NA,101,NA,2,NA,16870,3,2016,NA,NA,NA
"934",206,"a0900067000077380  ",NA,0,12,NA,117,NA,2,NA,16864,3,2016,NA,NA,NA
"942",214,"a0900067000080047  ",1,1,29,30,67,76,2,68,16866,3,2016,16934,5,2016
"947",219,"a0900067000080112  ",NA,0,18,NA,137,NA,2,NA,16866,3,2016,NA,NA,NA
"950",222,"a0900067000080153  ",NA,0,29,NA,75,NA,2,NA,16866,3,2016,NA,NA,NA
"952",224,"a0900067000080187  ",NA,0,29,NA,125,NA,2,NA,16866,3,2016,NA,NA,NA
"954",226,"a0900067000080200  ",NA,0,29,NA,82,NA,2,NA,16866,3,2016,NA,NA,NA
"956",228,"a0900067000080218  ",-2,1,33,31,99,110,2,64,16870,3,2016,16934,5,2016
"958",230,"a0900067000080267  ",NA,0,31,NA,80,NA,2,NA,16866,3,2016,NA,NA,NA
"959",231,"a0900067000080291  ",NA,0,27,NA,91,NA,2,NA,16866,3,2016,NA,NA,NA
"960",232,"a0900067000080302  ",0,1,29,29,88,95,2,68,16866,3,2016,16934,5,2016
"961",233,"a0900067000080312  ",2,1,12,14,97,109,2,69,16864,3,2016,16933,5,2016
"971",243,"a0900067000080457  ",1,1,29,30,81,88,2,68,16866,3,2016,16934,5,2016
"973",245,"a0900067000080511  ",NA,0,20,NA,130,NA,2,NA,16866,3,2016,NA,NA,NA
"974",246,"a0900067000080519  ",NA,0,17,NA,84,NA,2,NA,16866,3,2016,NA,NA,NA
"975",247,"a0900067000080534  ",NA,0,11,NA,102,NA,2,NA,16864,3,2016,NA,NA,NA
"976",248,"a0900067000080587  ",NA,0,27,NA,142,NA,2,NA,16866,3,2016,NA,NA,NA
"977",249,"a0900067000080618  ",NA,0,13,NA,51,NA,2,NA,16864,3,2016,NA,NA,NA
"978",250,"a0900067000080634  ",-2,1,16,14,45,55,2,67,16866,3,2016,16933,5,2016
"979",251,"a0900067000080650  ",3,1,12,15,62,76,2,69,16864,3,2016,16933,5,2016
"980",252,"a0900067000080652  ",NA,0,5,NA,49,NA,2,NA,16864,3,2016,NA,NA,NA
"981",253,"a0900067000080658  ",NA,0,5,NA,48,NA,2,NA,16864,3,2016,NA,NA,NA
"982",254,"a0900067000080659  ",NA,0,24,NA,97,NA,2,NA,16866,3,2016,NA,NA,NA
"983",255,"a0900067000080689  ",NA,0,26,NA,48,NA,2,NA,16866,3,2016,NA,NA,NA
"984",256,"a0900067000080708  ",NA,0,15,NA,48,NA,2,NA,16866,3,2016,NA,NA,NA
"985",257,"a0900067000080725  ",NA,0,23,NA,48,NA,2,NA,16866,3,2016,NA,NA,NA
"986",258,"a0900067000080740  ",NA,0,15,NA,53,NA,2,NA,16866,3,2016,NA,NA,NA
"987",259,"a0900067000080755  ",NA,0,24,NA,46,NA,2,NA,16866,3,2016,NA,NA,NA
"988",260,"a0900067000080778  ",2,1,24,26,48,61,2,68,16866,3,2016,16934,5,2016
"989",261,"a0900067000080878  ",NA,0,5,NA,55,NA,2,NA,16864,3,2016,NA,NA,NA
"990",262,"a0900067000080890  ",NA,0,13,NA,46,NA,2,NA,16864,3,2016,NA,NA,NA
"991",263,"a0900067000080935  ",NA,0,11,NA,48,NA,2,NA,16864,3,2016,NA,NA,NA
"992",264,"a0900067000080936  ",NA,0,6,NA,54,NA,2,NA,16864,3,2016,NA,NA,NA
"993",265,"a0900067000080962  ",NA,0,5,NA,50,NA,2,NA,16864,3,2016,NA,NA,NA
"994",266,"a0900067000084883  ",NA,0,22,NA,105,NA,2,NA,16866,3,2016,NA,NA,NA
"995",267,"a0900067000085006  ",NA,0,34,NA,93,NA,2,NA,16870,3,2016,NA,NA,NA
"997",269,"a0900067000085025  ",NA,0,22,NA,130,NA,2,NA,16866,3,2016,NA,NA,NA
"998",270,"a0900067000085029  ",NA,0,31,NA,87,NA,2,NA,16866,3,2016,NA,NA,NA
"1004",276,"a0900067000085086  ",NA,0,23,NA,78,NA,2,NA,16866,3,2016,NA,NA,NA
"1010",282,"a0900067000085197  ",NA,0,19,NA,89,NA,2,NA,16866,3,2016,NA,NA,NA
"1016",288,"a0900067000085250  ",NA,0,27,NA,157,NA,2,NA,16866,3,2016,NA,NA,NA
"1021",293,"a0900067000085343  ",NA,0,26,NA,92,NA,2,NA,16866,3,2016,NA,NA,NA
"1023",295,"a0900067000085349  ",0,1,29,29,80,98,2,68,16866,3,2016,16934,5,2016
"1025",297,"a0900067000085368  ",NA,0,11,NA,91,NA,2,NA,16864,3,2016,NA,NA,NA
"1028",300,"a0900067000085394  ",NA,0,31,NA,52,NA,2,NA,16866,3,2016,NA,NA,NA
"1029",301,"a0900067000085401  ",NA,0,30,NA,56,NA,2,NA,16866,3,2016,NA,NA,NA
"1034",306,"a0900067000085447  ",NA,0,33,NA,112,NA,2,NA,16870,3,2016,NA,NA,NA
"1036",308,"a0900067000085472  ",NA,0,34,NA,94,NA,2,NA,16870,3,2016,NA,NA,NA
"1037",309,"a0900067000085477  ",NA,0,29,NA,119,NA,2,NA,16866,3,2016,NA,NA,NA
"1277",549,"a0982000403060049  ",NA,0,12,NA,141,NA,2,NA,16864,3,2016,NA,NA,NA
"1279",551,"a0982000403060491  ",NA,0,2,NA,128,NA,2,NA,16864,3,2016,NA,NA,NA
"1371",643,"a0982000407050799  ",NA,0,34,NA,53,NA,2,NA,16870,3,2016,NA,NA,NA
"1372",644,"a0982000407050817  ",NA,0,33,NA,47,NA,2,NA,16870,3,2016,NA,NA,NA
"1373",645,"a0982000407050844  ",NA,0,33,NA,55,NA,2,NA,16870,3,2016,NA,NA,NA
"1374",646,"a0982000407050893  ",0,1,30,30,54,65,2,68,16866,3,2016,16934,5,2016
"1375",647,"a0982000407050901  ",0,1,29,29,138,145,2,68,16866,3,2016,16934,5,2016
"1376",648,"a0982000407050914  ",NA,0,28,NA,46,NA,2,NA,16866,3,2016,NA,NA,NA
"1377",649,"a0982000407050926  ",NA,0,30,NA,72,NA,2,NA,16866,3,2016,NA,NA,NA
"1378",650,"a0982000407050930  ",NA,0,30,NA,80,NA,2,NA,16866,3,2016,NA,NA,NA
"1379",651,"a0982000407050933  ",NA,0,29,NA,56,NA,2,NA,16866,3,2016,NA,NA,NA
"1380",652,"a0982000407050945  ",-1,1,30,29,71,81,2,68,16866,3,2016,16934,5,2016
"1381",653,"a0982000407050953  ",NA,0,27,NA,51,NA,2,NA,16866,3,2016,NA,NA,NA
"1382",654,"a0982000407050954  ",0,1,31,31,79,84,2,68,16866,3,2016,16934,5,2016
"1383",655,"a0982000407050955  ",NA,0,29,NA,48,NA,2,NA,16866,3,2016,NA,NA,NA
"1384",656,"a0982000407050970  ",NA,0,29,NA,49,NA,2,NA,16866,3,2016,NA,NA,NA
"1660",204,"a0900067000077330  ",NA,0,11,NA,126,NA,3,NA,16933,5,2016,NA,NA,NA
"1663",207,"a0900067000077402  ",NA,0,28,NA,110,NA,3,NA,16934,5,2016,NA,NA,NA
"1670",214,"a0900067000080047  ",-1,1,30,29,76,85,3,56,16934,5,2016,16990,7,2016
"1673",217,"a0900067000080101  ",NA,0,23,NA,145,NA,3,NA,16934,5,2016,NA,NA,NA
"1677",221,"a0900067000080128  ",1,1,31,32,99,105,3,56,16934,5,2016,16990,7,2016
"1684",228,"a0900067000080218  ",3,1,31,34,110,122,3,56,16934,5,2016,16990,7,2016
"1688",232,"a0900067000080302  ",0,1,29,29,95,106,3,56,16934,5,2016,16990,7,2016
"1689",233,"a0900067000080312  ",NA,0,14,NA,109,NA,3,NA,16933,5,2016,NA,NA,NA
"1698",242,"a0900067000080455  ",0,1,24,24,91,97,3,56,16934,5,2016,16990,7,2016
"1699",243,"a0900067000080457  ",1,1,30,31,88,101,3,56,16934,5,2016,16990,7,2016
"1706",250,"a0900067000080634  ",NA,0,14,NA,55,NA,3,NA,16933,5,2016,NA,NA,NA
"1707",251,"a0900067000080650  ",NA,0,15,NA,76,NA,3,NA,16933,5,2016,NA,NA,NA
"1716",260,"a0900067000080778  ",NA,0,26,NA,61,NA,3,NA,16934,5,2016,NA,NA,NA
"1724",268,"a0900067000085011  ",NA,0,27,NA,109,NA,3,NA,16934,5,2016,NA,NA,NA
"1729",273,"a0900067000085042  ",NA,0,14,NA,122,NA,3,NA,16933,5,2016,NA,NA,NA
"1731",275,"a0900067000085075  ",0,1,28,28,121,125,3,56,16934,5,2016,16990,7,2016
"1733",277,"a0900067000085089  ",-4,1,30,26,105,109,3,56,16934,5,2016,16990,7,2016
"1734",278,"a0900067000085111  ",1,1,25,26,82,97,3,56,16934,5,2016,16990,7,2016
"1735",279,"a0900067000085118  ",NA,0,34,NA,100,NA,3,NA,16934,5,2016,NA,NA,NA
"1751",295,"a0900067000085349  ",NA,0,29,NA,98,NA,3,NA,16934,5,2016,NA,NA,NA
"1752",296,"a0900067000085360  ",NA,0,7,NA,99,NA,3,NA,16933,5,2016,NA,NA,NA
"1755",299,"a0900067000085377  ",0,1,28,28,134,140,3,56,16934,5,2016,16990,7,2016
"2008",552,"a0982000403060504  ",NA,0,14,NA,114,NA,3,NA,16933,5,2016,NA,NA,NA
"2018",562,"a0982000407050074  ",NA,0,29,NA,93,NA,3,NA,16934,5,2016,NA,NA,NA
"2019",563,"a0982000407050075  ",NA,0,23,NA,136,NA,3,NA,16934,5,2016,NA,NA,NA
"2020",564,"a0982000407050095  ",NA,0,29,NA,103,NA,3,NA,16934,5,2016,NA,NA,NA
"2021",565,"a0982000407050112  ",NA,0,31,NA,61,NA,3,NA,16934,5,2016,NA,NA,NA
"2022",566,"a0982000407050114  ",NA,0,28,NA,87,NA,3,NA,16934,5,2016,NA,NA,NA
"2023",567,"a0982000407050119  ",0,1,22,22,91,97,3,56,16934,5,2016,16990,7,2016
"2024",568,"a0982000407050131  ",NA,0,24,NA,73,NA,3,NA,16934,5,2016,NA,NA,NA
"2025",569,"a0982000407050133  ",0,1,31,31,100,114,3,56,16934,5,2016,16990,7,2016
"2026",570,"a0982000407050138  ",NA,0,27,NA,106,NA,3,NA,16934,5,2016,NA,NA,NA
"2027",571,"a0982000407050147  ",NA,0,24,NA,58,NA,3,NA,16934,5,2016,NA,NA,NA
"2028",572,"a0982000407050148  ",-1,1,24,23,76,86,3,56,16934,5,2016,16990,7,2016
"2029",573,"a0982000407050153  ",NA,0,31,NA,87,NA,3,NA,16934,5,2016,NA,NA,NA
"2030",574,"a0982000407050154  ",NA,0,24,NA,95,NA,3,NA,16934,5,2016,NA,NA,NA
"2031",575,"a0982000407050158  ",NA,0,29,NA,88,NA,3,NA,16934,5,2016,NA,NA,NA
"2032",576,"a0982000407050285  ",NA,0,14,NA,65,NA,3,NA,16933,5,2016,NA,NA,NA
"2033",577,"a0982000407050349  ",NA,0,14,NA,72,NA,3,NA,16933,5,2016,NA,NA,NA
"2102",646,"a0982000407050893  ",0,1,30,30,65,75,3,56,16934,5,2016,16990,7,2016
"2103",647,"a0982000407050901  ",NA,0,29,NA,145,NA,3,NA,16934,5,2016,NA,NA,NA
"2108",652,"a0982000407050945  ",NA,0,29,NA,81,NA,3,NA,16934,5,2016,NA,NA,NA
"2110",654,"a0982000407050954  ",0,1,31,31,84,95,3,56,16934,5,2016,16990,7,2016
"2164",708,"a0982000407069455  ",-1,1,32,31,57,65,3,56,16934,5,2016,16990,7,2016
"2165",709,"a0982000407069466  ",NA,0,34,NA,146,NA,3,NA,16934,5,2016,NA,NA,NA
"2166",710,"a0982000407069468  ",NA,0,33,NA,72,NA,3,NA,16934,5,2016,NA,NA,NA
