"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"62",3.34582,0.480994,-0.0311069,-0.0939798,-0.129052,-0.0964855,0.110886,0.267442,0
"63",3.38759,0.507103,-0.0234967,-0.11811,-0.0695925,-0.202374,0.110991,0.272483,0
"64",3.35575,0.553507,-0.0372376,-0.0171432,-0.038285,-0.163789,0.110008,0.265461,1
"65",3.37248,0.459556,0.00118002,-0.0635101,-0.100523,-0.0128288,0.118639,0.281959,0
"66",3.33396,0.501696,0.0835086,-0.321491,-0.0734316,-0.0211895,0.109824,0.272658,0
"67",3.36135,0.70285,-0.076722,-0.0719561,-0.0364846,-0.0962976,0.10729,0.295644,0
"68",3.35278,0.564529,0.00138192,-0.146906,-0.0668907,0.0114724,0.108743,0.262822,0
"69",3.39892,0.550128,-0.067096,-0.104348,-0.103388,-0.319051,0.10961,0.261777,0
"70",3.31492,0.61472,0.02782,-0.16068,-0.0817316,0.079393,0.113234,0.273675,0
"71",3.26484,0.572236,0.00985717,-0.114032,-0.0845516,0.149013,0.110014,0.25501,1
"72",3.37597,0.432453,-0.055841,-0.0768055,-0.0651546,-0.0693132,0.114599,0.281383,1
"73",3.41301,0.468551,-0.00108653,-0.165445,-0.0926287,-0.111301,0.107393,0.274899,0
"74",3.36748,0.578345,-0.0583608,-0.151558,-0.0599681,-0.12183,0.108351,0.258095,0
"75",3.2858,0.536123,0.0197205,-0.209999,-0.0341452,-0.16191,0.11066,0.272153,1
"76",3.39331,0.415589,-0.0439067,-0.0224034,-0.0196043,0.149393,0.11515,0.28795,0
"77",3.38211,0.512426,-0.0290061,-0.0309539,-0.0518123,0.075873,0.112827,0.267213,0
"78",3.39459,0.586133,-0.041918,-0.169291,-0.0836034,-0.349827,0.107298,0.280176,1
"79",3.39906,0.541764,0.00348205,-0.178803,-0.0657928,-0.40736,0.115649,0.279414,1
"80",3.44002,0.556926,-0.0159415,-0.216492,-0.0811375,-0.154678,0.102131,0.300329,0
"81",3.30612,0.485577,-0.0480387,-0.115376,-0.0378825,-0.0625123,0.104871,0.277981,0
"82",3.38109,0.628247,0.0263831,-0.261898,-0.110329,-0.19721,0.109153,0.273687,0
"83",3.3922,0.568858,-0.0471592,-0.191846,-0.105902,-0.246316,0.10841,0.283601,0
"84",3.32996,0.635653,0.0284331,-0.164894,-0.162056,-0.262697,0.11074,0.294107,0
"85",3.44704,0.474246,-0.039319,-0.0550655,-0.0735514,-0.213964,0.110716,0.273434,0
"86",3.40942,0.547584,-0.0546458,-0.100461,-0.0510417,-0.102612,0.111435,0.26208,0
"87",3.33863,0.690554,-0.0639812,-0.0568058,-0.060303,-0.367127,0.11167,0.270811,1
"88",3.44805,0.425224,0.0563554,-0.231291,-0.118782,-0.318293,0.110194,0.278402,1
"89",3.39691,0.483835,-0.107613,-0.133578,-0.0575132,-0.180824,0.108473,0.264493,1
"90",3.40472,0.558615,-0.00626656,-0.208495,-0.0326053,-0.145217,0.10824,0.280478,1
"91",3.39817,0.587049,-0.0676937,0.0775483,-0.0163247,-0.033174,0.113787,0.266585,1
"92",3.37047,0.540423,-0.0145382,-0.0628691,-0.0931119,0.0054538,0.109338,0.2796,0
"93",3.40375,0.484012,-0.0823002,-0.0508776,-0.0855996,0.00384885,0.113649,0.266125,1
"94",3.37488,0.590086,0.0187316,-0.173499,-0.101079,-0.198612,0.107957,0.270383,0
"95",3.39419,0.506268,-0.0736578,0.00467136,-0.063779,-0.0845059,0.114617,0.266943,0
"96",3.34246,0.66758,-0.0270852,-0.219771,-0.00570478,0.25204,0.114458,0.26977,1
"97",3.36838,0.506655,-0.0458027,-0.107441,-0.114509,-0.225592,0.107763,0.278917,1
"98",3.32463,0.622213,-0.00978137,-0.105168,-0.0958435,0.086769,0.109566,0.279609,0
"99",3.36211,0.5315,-0.0506036,-0.12011,-0.0664988,-0.211745,0.107796,0.263329,0
"100",3.40673,0.5531,-0.141904,-0.0305152,-0.110177,-0.331212,0.114974,0.286454,0
"101",3.34058,0.577461,0.0176665,-0.195073,-0.0456096,-0.0990606,0.112518,0.26703,1
"102",3.38118,0.525218,0.00360605,-0.0571996,-0.0834155,0.00939274,0.114507,0.272784,0
"103",3.40121,0.495237,-0.0990001,0.0791583,-0.0649725,-0.105636,0.106433,0.264585,1
"104",3.37337,0.566559,0.0654425,-0.133476,-0.0584874,-0.144916,0.114393,0.273341,1
"105",3.34261,0.578572,0.0150554,-0.138285,-0.120072,-0.35294,0.114133,0.300361,1
"106",3.41315,0.462074,-0.0345856,-0.115111,-0.100967,-0.133798,0.104198,0.270779,1
"107",3.42815,0.501162,-0.140237,0.086476,-0.0859319,-0.175763,0.110975,0.272462,1
"108",3.28111,0.648966,-0.0345275,-0.0939071,-0.119181,-0.206577,0.111933,0.2636,1
"109",3.37685,0.517817,-0.00395386,-0.115858,-0.073085,-0.25035,0.112136,0.272497,1
"110",3.3172,0.536217,0.116015,-0.244617,-0.112831,-0.183077,0.1078,0.270046,1
"111",3.40991,0.50073,-0.0409943,-0.0401721,1.69336e-05,-0.0367164,0.110266,0.274904,1
"112",3.36333,0.577781,-0.143879,0.0689359,0.0223605,-0.0922607,0.110502,0.273767,0
"113",3.31516,0.53163,-0.0168714,-0.0360084,-0.0728945,0.0387219,0.107864,0.282918,1
"114",3.2852,0.700403,-0.088631,-0.0776451,0.0146564,-0.238828,0.112371,0.2712,0
"115",3.29825,0.654094,-0.0704416,-0.0771209,-0.0561063,0.0956664,0.111638,0.267382,1
"116",3.33512,0.497137,-0.0820759,-0.054873,-0.107844,0.176566,0.110829,0.292896,0
"117",3.34489,0.549964,0.0101479,-0.244866,-0.051757,-0.153504,0.118878,0.280631,0
"118",3.35858,0.60358,-0.0533859,0.00607514,-0.0405111,-0.130173,0.111907,0.282362,0
"119",3.40382,0.504205,-0.104778,-0.0731588,-0.0148752,-0.113023,0.108555,0.284371,1
"120",3.35506,0.524332,0.063233,-0.0989351,-0.105187,-0.086844,0.105333,0.304143,1
"121",3.42742,0.438165,-0.0426248,-0.110506,-0.0190806,-0.0563615,0.111452,0.283212,0
"122",3.3923,0.489731,-0.018785,-0.0945436,-0.13696,-0.184719,0.106128,0.299916,1
"123",3.24397,0.818274,0.0222551,-0.145677,-0.0664206,0.0583898,0.11307,0.280186,1
"124",3.32852,0.630784,-0.0805748,-0.0451093,-0.0637682,-0.249858,0.109701,0.263044,0
"125",3.37932,0.652382,-0.0376733,-0.0650317,-0.115153,0.0104323,0.114921,0.274787,1
"126",3.38738,0.466547,0.0678308,-0.198746,-0.0381068,-0.0962903,0.117974,0.272708,0
"127",3.346,0.549318,-0.074486,0.000351701,0.0106568,-0.0179615,0.117609,0.266289,1
"128",3.34791,0.550754,-0.113062,-0.0634769,-0.113683,-0.0310829,0.10671,0.293531,0
"129",3.4127,0.548625,-0.119693,0.00357926,-0.0741284,-0.3027,0.107792,0.289298,1
"130",3.33833,0.573032,-0.0101029,-0.138418,-0.0500019,-0.128925,0.104012,0.290149,1
"131",3.39361,0.562805,-0.00387148,-0.168281,-0.072709,-0.31168,0.117342,0.265559,0
