"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"97",3.18568,0.00971865,0.0424003,0.263892,0.0384147,0.341329,0.126003,0.193955,0
"98",3.3336,-0.0117997,0.00140978,0.263156,0.0277579,0.134312,0.130799,0.192937,1
"99",3.28134,-0.0396463,0.0534742,0.324962,0.0916373,0.238554,0.131693,0.180482,1
"100",3.33092,-0.0207609,0.0221943,0.283836,0.0640452,0.184869,0.131069,0.189522,0
"101",3.23397,-0.076882,0.0353728,0.371698,0.0428543,0.305098,0.12809,0.193499,1
"102",3.35926,-0.00162684,0.018111,0.23772,0.0669639,0.187583,0.133154,0.192837,0
"103",3.39348,-0.0637607,-0.00285041,0.350238,0.0726361,0.118603,0.132415,0.191316,0
"104",3.33403,0.0669034,-0.0101679,0.277902,0.0936293,0.196643,0.129201,0.197301,0
"105",3.35051,-0.0331784,-0.0650471,0.39017,0.0525761,0.126936,0.134654,0.19539,0
"106",3.2861,0.0182063,0.0453212,0.230369,0.0955262,0.26796,0.133431,0.189423,1
"107",3.31978,0.0248175,-0.00483294,0.321804,0.0753522,0.187134,0.128979,0.182027,0
"108",3.28398,-0.0101721,0.04584,0.24968,0.0278196,0.20185,0.129625,0.191568,0
"109",3.2704,0.00583301,0.0369417,0.284801,0.0673418,0.209708,0.128937,0.194114,1
"110",3.28151,-0.0178722,0.0244787,0.248407,0.0613959,0.240277,0.128534,0.189024,0
"111",3.39066,0.00130196,0.0250786,0.248598,0.0803147,0.0968405,0.134538,0.191454,0
"112",3.2515,-0.0128633,0.0460858,0.259677,0.070381,0.296064,0.130361,0.192505,0
"113",3.21203,0.0451362,0.0596824,0.299178,0.0720304,0.273334,0.129992,0.187287,0
"114",3.28918,-0.035906,0.0431367,0.260562,0.0607205,0.249002,0.127486,0.189996,0
"115",3.3832,-0.101579,-0.0288553,0.371217,0.0917795,0.174809,0.133583,0.197527,0
"116",3.32108,-0.0013923,0.00737033,0.269749,0.0156505,0.155097,0.131943,0.188959,0
"117",3.30984,-0.0757598,-0.00319373,0.335449,0.0496652,0.231527,0.130525,0.181276,0
"118",3.31787,0.0300922,-0.00388459,0.292025,0.0837537,0.221177,0.132171,0.187983,0
"119",3.33246,0.00725183,-0.0292802,0.331809,0.0329847,0.166069,0.130705,0.196894,1
"120",3.21051,0.109881,-0.00240826,0.311968,0.112353,0.241999,0.131666,0.192666,0
"121",3.30161,-0.0138619,0.0262275,0.30968,0.0484254,0.225551,0.132148,0.195424,0
"122",3.26338,-0.0146624,0.046186,0.302436,0.062238,0.252135,0.129303,0.184173,0
"123",3.27949,-0.0180663,0.0266405,0.293259,0.0394834,0.236861,0.13054,0.181964,1
"124",3.22561,0.00464761,0.0263873,0.328866,0.0698176,0.291534,0.131983,0.183607,1
"125",3.25695,0.0477126,0.0330675,0.263131,0.0626638,0.249541,0.125551,0.196956,0
"126",3.21821,-0.0134136,0.0443193,0.274619,0.0827951,0.363009,0.134349,0.187653,0
"127",3.23957,0.00427361,0.0397508,0.29005,0.0635232,0.326264,0.130369,0.190991,0
"128",3.3526,-0.0189021,0.00911503,0.328289,0.0669683,0.169456,0.126253,0.182278,0
"129",3.26682,0.0579803,0.00947197,0.314475,0.085964,0.237574,0.136039,0.193311,1
