"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"77",3.28544,0.380965,-0.077187,0.0390435,-0.175978,6.91673,0.268296
"78",3.30138,0.572692,-0.0723811,0.0524448,-0.348167,6.56472,0.280041
"79",3.16266,0.706031,-0.0918998,0.117693,-0.0983003,6.81327,0.262684
"80",3.2778,0.481418,-0.0862305,0.0140452,-0.0810943,6.83101,0.262618
"81",3.30166,0.482534,-0.0776381,0.045147,-0.00612125,6.65095,0.263785
"82",3.35007,0.450234,-0.0992646,0.0149363,-0.4218,6.24989,0.265291
"83",3.35267,0.458136,-0.0622011,-0.000432279,-0.234708,6.91898,0.285419
"84",3.26781,0.510963,-0.0733206,-0.0273144,-0.117912,6.56198,0.274319
"85",3.17447,0.593343,-0.0584149,0.130336,-0.0190408,7.1847,0.285638
"86",3.38415,0.424521,-0.0982579,0.023572,-0.265603,6.63949,0.289914
"87",3.22169,0.531897,-0.0826037,0.10205,-0.105488,7.08333,0.271335
"88",3.3446,0.477749,-0.0644634,0.0153733,-0.229918,6.80403,0.281579
"89",3.20058,0.584921,-0.024568,0.0713042,0.149895,6.91577,0.287531
"90",3.22652,0.708051,-0.104122,0.0504692,-0.235352,6.392,0.279748
"91",3.17595,0.606446,-0.0255558,0.100208,-0.146927,6.44472,0.288606
"92",3.22725,0.648888,-0.0793452,0.135486,0.0616641,6.88588,0.28199
"93",3.30568,0.478912,-0.0613443,0.0626369,-0.0470457,6.8009,0.26449
"94",3.2025,0.554057,-0.0863964,0.0811912,-0.115409,6.61911,0.26231
"95",3.25927,0.587932,-0.0474741,0.0670977,-0.124507,6.68035,0.258071
"96",3.27503,0.484348,-0.0445644,0.0640987,-0.138358,6.63381,0.265742
"97",3.20595,0.58438,-0.0303406,0.021494,-0.310731,6.89117,0.264453
"98",3.22354,0.617901,-0.0876279,0.124572,0.0574554,6.51462,0.291454
"99",3.20939,0.504801,-0.04235,0.110871,0.033387,6.79445,0.263439
"100",3.19371,0.569946,-0.058011,0.0680538,0.118307,6.82507,0.271461
"101",3.3256,0.395868,-0.153843,0.0270719,-0.0184923,6.54885,0.27631
"102",3.21411,0.468244,-0.00456042,0.0608806,-0.180149,6.78829,0.283962
"103",3.31526,0.430173,-0.0402277,0.0611396,-0.0431197,6.60623,0.273587
"104",3.24534,0.563085,-0.0954648,0.0658488,-0.18067,6.4232,0.301744
"105",3.37669,0.38863,-0.0891607,0.0749293,-0.104001,6.32403,0.284245
"106",3.1887,0.540164,-0.125833,0.0896826,-0.0344516,6.48581,0.279536
"107",3.29887,0.498188,-0.10064,0.0541012,-0.188229,6.83894,0.287776
"108",3.16398,0.578003,-0.110459,0.110508,-0.0900662,6.5901,0.26806
"109",3.17965,0.625556,-0.146323,0.155834,-0.0542141,6.92954,0.263658
"110",3.21969,0.570696,-0.120881,0.0387603,-0.111343,6.69261,0.282557
"111",3.32895,0.381691,-0.0864488,0.0125693,-0.196914,6.77981,0.264512
"112",3.24317,0.521539,-0.054533,0.0522284,-0.234814,6.66216,0.282668
"113",3.26091,0.563186,-0.0756753,0.00945049,-0.321998,6.80838,0.279683
"114",3.31742,0.485866,-0.100487,0.0612431,-0.0792524,6.43255,0.30119
"115",3.26884,0.567081,-0.0731315,0.0556368,-0.0114692,6.78913,0.26852
"116",3.21738,0.540297,-0.113167,0.0494732,-0.285912,6.50061,0.297941
"117",3.1176,0.719603,-0.0369993,0.136062,-0.25786,6.41181,0.279666
"118",3.23136,0.567438,-0.110244,0.0667229,-0.00558248,6.667,0.286948
