"","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",3.36075499996653,3.2784609780327,3.45262469885862,1.0008269945619,1500,1,0
"b[2]",0.564694498884131,0.425275760660614,0.710821524255787,1.00451270935672,500,1,0
"b[3]",-0.02699435,-0.1059552,0.0618287075,1.00087033362044,1500,0.277333333333333,0.722666666666667
"b[4]",-0.108335,-0.257411725,0.048130325,1.00077386265831,1500,0.074,0.926
"b[5]",-0.0632513,-0.136909375,0.00697637074999993,1.00251013928411,1500,0.042,0.958
"b[6]",-0.1020725,-0.351393475,0.1689682,1.00211244537357,1100,0.216,0.784
"sigma",0.110752999927767,0.103966897678188,0.118089824821557,1.00257472667378,1400,1,0
