"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",3.84765726,3.84850499960699,3.69333773392691,3.9990482412417,1.00813299984372,260,1,0
"b[2]",0.328847859333333,0.3300915,0.1641953,0.491787125,1.00332367779619,600,0.999333333333333,0.000666666666666704
"b[3]",0.363418545333333,0.364118499304828,0.273269973302196,0.456999321611224,1.00086642074867,1500,1,0
"b[4]",-0.0712201948553333,-0.06928885,-0.235686725,0.0849340924999994,1.00027531866257,1500,0.189333333333333,0.810666666666667
"b[5]",0.226018933333333,0.226101999626275,0.16027193842092,0.2908159115674,1.00080372118856,1500,1,0
"b[6]",-0.646146676,-0.644755,-0.80728115,-0.481658275,1.00719701507615,280,0,1
"sigma",0.126446339333333,0.126343999964383,0.118475186798665,0.134623724924978,1.00021665389707,1500,1,0
"phi",0.267569735333333,0.267543499752844,0.24736729960482,0.2885329734957,1.00086710545967,1500,1,0
"bpvalue",0.606666666666667,1,0,1,1.00019072577678,1500,0.606666666666667,0.393333333333333
