"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",3.29889124,3.29775999998484,3.19853923452789,3.40403124771066,1.00912981118597,270,1,0
"b[2]",-0.0064086778662,-0.00754217,-0.0983659375,0.0847330224999999,1.00087513556018,1500,0.436666666666667,0.563333333333333
"b[3]",0.0144897963000667,0.01521415,-0.0430098225,0.071591805,1.00139022679582,1400,0.699333333333333,0.300666666666667
"b[4]",0.305468547333333,0.305425999801916,0.227180046660842,0.388304728459529,1.00049658642906,1500,1,0
"b[5]",0.06751322712,0.0677304,0.0220330725,0.11449675,1.00122942244847,1500,0.998666666666667,0.0013333333333333
"b[6]",0.221405396133333,0.220977438771473,0.10889887428439,0.336279722062986,1.00487892619141,410,1,0
"sigma",0.130318989333333,0.130116999996157,0.125161374975095,0.136171922024972,1.00214933341918,930,1,0
"phi",0.192035394666667,0.192141999989591,0.181788184153538,0.201414814049238,1.00300291737771,670,1,0
"bpvalue",0.343333333333333,0,0,1,1.0002375319135,1500,0.343333333333333,0.656666666666667
