"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"loglik[1317]",-4.28145324,-4.27752,-4.46857075,-4.105009,1.00130219550707,1500,0,1
"loglik[1318]",-5.38689276666667,-5.384525,-5.4055805,-5.38203,1.00266518497825,1500,0,1
"loglik[1321]",-4.21601142666667,-4.212515,-4.41922525,-4.0252735,1.00264178793469,760,0,1
"loglik[1322]",-9.25114072666667,-9.225895,-10.0122125,-8.6092525,1.01208600132431,240,0,1
"loglik[1324]",-9.12443036666667,-9.10801,-9.799231,-8.5227365,1.00341188467942,640,0,1
"loglik[1329]",-4.83356717333333,-4.82968,-4.92345275,-4.7614125,1.001369382594,1500,0,1
"loglik[1330]",-4.6071986,-4.61001,-4.80955775,-4.4059495,1.01393499487961,200,0,1
"loglik[1331]",-5.43716954,-5.432875,-5.51618625,-5.3868295,1.01085366209572,230,0,1
"loglik[1333]",-4.44070664,-4.44105,-4.61975725,-4.26909775,1.003453584457,600,0,1
"loglik[1334]",-4.83031260666667,-4.826315,-4.91874825,-4.76020225,1.0012311571193,1500,0,1
"loglik[1335]",-4.49861674666667,-4.49889,-4.679084,-4.31815425,1.00689291336442,370,0,1
"loglik[1336]",-4.26694327333333,-4.263265,-4.4530035,-4.091922,1.0012011541401,1500,0,1
"loglik[1338]",-4.88083320666667,-4.8782,-4.97372,-4.802187,1.00213869633429,940,0,1
"loglik[1339]",-4.23078176,-4.22748,-4.42736975,-4.04327375,1.00202469228875,990,0,1
"loglik[1343]",-4.39003500666667,-4.38873,-4.56458925,-4.22067875,1.00193898431498,1000,0,1
"loglik[1350]",-4.20182656666667,-4.198335,-4.40504525,-4.01108875,1.00264199960226,760,0,1
"loglik[1353]",-6.53935421333333,-6.53246,-6.80367975,-6.32468725,1.00170435791861,1200,0,1
"loglik[1354]",-4.84978157333333,-4.84555,-4.9401375,-4.77547175,1.00119055636948,1500,0,1
"loglik[1356]",-4.23048888,-4.227665,-4.42965025,-4.0405965,1.00231818574134,860,0,1
"loglik[1358]",-4.84647758666667,-4.84246,-4.9376045,-4.77255475,1.00120431887732,1500,0,1
"loglik[1359]",-5.07665822,-5.075595,-5.2375515,-4.92766975,1.0180605226303,150,0,1
"loglik[1360]",-4.30316972666667,-4.299375,-4.48778325,-4.1278695,1.00117057327465,1500,0,1
"loglik[1362]",-6.98260140666667,-6.97817,-7.2946785,-6.719136,1.00117674599626,1500,0,1
"loglik[1369]",-4.33936357333333,-4.335475,-4.51657475,-4.16821175,1.00123130819658,1500,0,1
"loglik[1374]",-6.58772480666667,-6.581185,-6.87595725,-6.35202375,1.00216482070191,920,0,1
"loglik[1376]",-6.42704204666667,-6.422215,-6.6324315,-6.261349,1.00143640882006,1400,0,1
"loglik[1380]",-4.65063116,-4.65447,-4.86411275,-4.43698975,1.0163589999778,170,0,1
"loglik[1382]",-5.82253757333333,-5.815875,-5.889939,-5.7884395,1.02135182247429,160,0,1
"loglik[1384]",-4.3755575,-4.373635,-4.549126,-4.20646925,1.00166325744482,1200,0,1
"loglik[1386]",-4.25973700666667,-4.256985,-4.44970675,-4.07841475,1.00154683682479,1300,0,1
"loglik[1389]",-4.23798825333333,-4.235315,-4.4265485,-4.0582675,1.00145367254951,1400,0,1
"loglik[1392]",-4.16563282666667,-4.162865,-4.3769935,-3.96837525,1.00355282438097,560,0,1
"loglik[1393]",-6.48478010666667,-6.480725,-6.71653025,-6.294979,1.00107279877501,1500,0,1
"loglik[1395]",-4.41895776,-4.419365,-4.59890075,-4.24683875,1.0038372076028,560,0,1
"loglik[1398]",-5.01736276,-5.017,-5.14816925,-4.89979775,1.01306852408077,210,0,1
"loglik[1400]",-6.62853183333333,-6.6146,-6.862918,-6.45040725,1.01809789048437,170,0,1
"loglik[1402]",-5.05792409333333,-5.05781,-5.20557825,-4.92368825,1.01608856807495,170,0,1
"loglik[1403]",-5.01296046,-5.013145,-5.1418415,-4.89698525,1.01268932900633,210,0,1
"loglik[1404]",-10.4141121933333,-10.3897,-11.37003,-9.5919655,1.00786136571126,340,0,1
"loglik[1406]",-5.39614804666667,-5.39218,-5.43076875,-5.38206475,1.00221617027377,930,0,1
"loglik[1407]",-4.92947791333333,-4.9277,-5.032437,-4.84124475,1.00362840276297,570,0,1
"loglik[1411]",-6.08728523333333,-6.08126,-6.13291975,-6.07519,1.00546962509111,930,0,1
"loglik[1414]",-4.37576221333333,-4.376595,-4.608206,-4.13537075,1.00827734393545,240,0,1
