,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[854],-4.110381307,-4.1096,-4.30232575,-3.92799775,1.00388999,870,1,0
loglik[856],-5.422690953,-5.418535,-5.4901085,-5.38400425,1.001439002,1500,1,0
loglik[859],-4.144411087,-4.13781,-4.349421,-3.95299625,1.002322195,930,1,0
loglik[861],-9.869884787,-9.864895,-10.872735,-8.97304925,1.002069031,1100,1,0
loglik[863],-8.000638787,-7.997875,-8.558662,-7.50036675,1.002335692,1000,1,0
loglik[867],-6.148821413,-6.138925,-6.3678585,-5.9715015,1.001857636,1200,1,0
loglik[869],-8.1587969,-8.15191,-8.82412675,-7.575738,1.002043075,1200,1,0
loglik[878],-3.963923713,-3.95873,-4.38057275,-3.583429,1.044980388,54,1,0
loglik[882],-3.96513894,-3.9596,-4.38345475,-3.58199525,1.04447009,54,1,0
loglik[884],-4.599408847,-4.59399,-4.887285,-4.3501005,1.04388285,60,1,0
loglik[885],-4.6610349,-4.658875,-4.89063,-4.4566155,1.03882374,65,1,0
loglik[886],-7.018993927,-7.004665,-7.40307225,-6.6972485,1.031364727,73,1,0
loglik[890],-6.70884358,-6.692805,-7.08752475,-6.41656825,1.030208238,75,1,0
loglik[891],-5.048380033,-5.04444,-5.19175425,-4.9314395,1.03990044,65,1,0
loglik[905],-7.38897176,-7.37899,-7.77708575,-7.06428875,1.021764917,110,1,0
loglik[907],-4.89633502,-4.890135,-5.1514915,-4.66181925,1.031403345,86,1,0
loglik[911],-4.717058853,-4.713865,-4.90646525,-4.541923,1.028989177,78,1,0
loglik[912],-5.177768913,-5.17172,-5.34550575,-5.0374795,1.03182017,87,1,0
loglik[917],-4.918744527,-4.91314,-5.19592975,-4.6590885,1.03260301,82,1,0
loglik[918],-4.845913607,-4.84137,-5.064337,-4.64964175,1.027480862,95,1,0
loglik[920],-4.885130187,-4.87944,-5.13130125,-4.6631805,1.030689565,88,1,0
loglik[927],-5.205945347,-5.199975,-5.38284225,-5.05793825,1.032733785,85,1,0
loglik[928],-8.396498027,-8.38761,-8.91287,-7.927485,1.021735331,110,1,0
loglik[929],-6.10445496,-6.100135,-6.1593875,-6.07550475,1.014318232,140,1,0
loglik[930],-5.793029547,-5.78986,-5.8158605,-5.7875,1.058482118,95,1,0
loglik[931],-5.131836187,-5.12852,-5.25683,-5.0241645,1.022663802,95,1,0
loglik[932],-4.975744027,-4.96929,-5.27604175,-4.687482,1.033766664,79,1,0
loglik[939],-9.65836828,-9.641925,-10.58362,-8.84752875,1.023777948,100,1,0
loglik[940],-6.093107567,-6.088115,-6.13859775,-6.07525,1.010411371,190,1,0
loglik[944],-9.265395633,-9.24105,-10.2454575,-8.46665425,1.024376609,98,1,0
loglik[948],-7.16098476,-7.13901,-7.58065975,-6.87526175,1.021763647,110,1,0
loglik[958],-5.209825527,-5.20369,-5.41017775,-5.0394535,1.035253563,79,1,0
loglik[962],-4.779819727,-4.777075,-4.967382,-4.6067585,1.027906759,79,1,0
loglik[963],-5.542904327,-5.53303,-5.70580275,-5.4243095,1.044673389,67,1,0
loglik[964],-7.150638847,-7.12593,-7.58362675,-6.86417975,1.021949056,100,1,0
loglik[966],-5.4849198,-5.47867,-5.583702,-5.416338,1.037517047,80,1,0
loglik[968],-4.885130187,-4.87944,-5.13130125,-4.6631805,1.030689565,88,1,0
loglik[969],-4.655432633,-4.652885,-4.892916,-4.449729,1.03953173,65,1,0
