"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"73",3.30238,0.580735,-0.049291,0.0215172,-0.0675682,-0.0639238,0.113012
"74",3.34665,0.554161,0.00803062,-0.110398,-0.148146,-0.0153049,0.111605
"75",3.35374,0.614591,-0.0774095,0.0742199,-0.0478643,-0.285615,0.112135
"76",3.34033,0.586715,-0.0568378,-0.140409,-0.134576,-0.3652,0.109272
"77",3.37651,0.467503,-0.0260992,-0.0819448,-0.128454,0.063969,0.114336
"78",3.33399,0.624619,-0.105545,-0.0570754,-0.00460012,0.0376662,0.114779
"79",3.36932,0.608582,0.0730668,-0.128191,0.000319921,-0.0517495,0.108362
"80",3.39123,0.579015,-0.0984473,-0.0813263,-0.0276876,0.00193227,0.116151
"81",3.30368,0.63149,0.0363706,-0.110497,-0.0851231,0.0298705,0.107465
"82",3.3644,0.660928,0.0416438,-0.038582,-0.0877869,-0.0751578,0.109727
"83",3.3517,0.628222,-0.0369134,-0.17834,-0.0698074,0.0524704,0.108462
"84",3.42077,0.615153,-0.0795675,-0.0243817,-0.121235,-0.362404,0.113464
"85",3.34422,0.704013,-0.0206198,-0.124363,-0.0561422,-0.101061,0.115997
"86",3.36637,0.617298,-0.0126243,-0.170394,-0.0710235,0.00763924,0.107809
"87",3.30985,0.607883,-0.0638923,-0.0269763,-0.0459581,-0.0898567,0.114258
"88",3.3889,0.486701,-0.074413,-0.0522715,-0.0919185,-0.145545,0.108072
"89",3.3668,0.488083,0.0153055,-0.141619,-0.0472772,-0.134805,0.113663
"90",3.39337,0.600136,-0.00119767,-0.104063,-0.0101549,-0.0468823,0.111329
"91",3.3675,0.580411,-0.0130043,-0.141366,-0.0920066,-0.242411,0.107328
"92",3.41763,0.466742,-0.0986695,-0.100588,-0.116291,-0.389838,0.109508
"93",3.40829,0.452729,-0.0736785,-0.0572637,-0.119605,-0.155574,0.116614
"94",3.39621,0.613785,-0.0398089,-0.184325,-0.0997995,-0.120686,0.116398
"95",3.38378,0.476864,0.0149946,-0.112393,-0.0251586,0.0198266,0.113824
"96",3.37628,0.498063,0.00956337,-0.141719,-0.0774327,0.0564462,0.109594
