"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"556",3.78942,0.431939,0.281963,0.0800952,0.271749,-0.596013,0.123091
"557",3.88691,0.298877,0.384374,-0.184792,0.221602,-0.687065,0.121519
"558",3.795,0.377606,0.320124,0.0137792,0.164143,-0.64066,0.12932
"559",3.9319,0.247524,0.364913,-0.0564582,0.213551,-0.645944,0.126436
"560",3.9526,0.264105,0.36438,0.0273024,0.249621,-0.742476,0.127276
"561",3.88734,0.3254,0.31214,-0.00267069,0.296824,-0.654795,0.128509
"562",3.96445,0.212669,0.369408,-0.0274765,0.24117,-0.763511,0.131436
"563",3.90977,0.375573,0.403413,-0.107173,0.23433,-0.631775,0.128291
"564",3.85795,0.261224,0.346025,-0.158745,0.251823,-0.741753,0.124354
"565",3.85574,0.315114,0.323903,-0.00963635,0.241889,-0.600799,0.129073
"566",3.79053,0.385969,0.332395,-0.0188205,0.206837,-0.5715,0.122232
"567",3.85751,0.365316,0.40346,-0.0429861,0.183198,-0.746079,0.127412
"568",3.82812,0.306141,0.391926,-0.0944277,0.17375,-0.613181,0.125557
"569",3.75013,0.316835,0.329299,-0.127544,0.256811,-0.592297,0.121157
"570",3.7052,0.489314,0.320513,-0.00109795,0.251072,-0.428445,0.120049
"571",3.84062,0.465026,0.344785,-0.0607789,0.267409,-0.699351,0.122786
"572",3.64806,0.433036,0.389958,-0.169826,0.17627,-0.491309,0.128201
"573",3.72513,0.503502,0.408793,-0.169102,0.252189,-0.509531,0.13449
"574",3.78075,0.421184,0.399382,-0.159338,0.253723,-0.547568,0.127974
"575",3.84174,0.344797,0.308134,-0.101983,0.238429,-0.654008,0.123566
"576",3.94381,0.262275,0.348801,-0.0926917,0.210857,-0.723976,0.127665
"577",3.75254,0.324837,0.360526,0.0110714,0.22859,-0.553851,0.130473
"578",3.86816,0.199033,0.403017,-0.157932,0.188682,-0.656104,0.126376
"579",3.77698,0.321969,0.321796,0.00489446,0.236593,-0.600217,0.129308
"580",3.92982,0.280155,0.365826,-0.139005,0.203234,-0.606869,0.124273
"581",3.75661,0.411542,0.350441,-0.000670195,0.265047,-0.583669,0.12466
