,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[5514],-4.366844307,-4.366765,-4.4849,-4.24664875,1.039263048,60,1,0
loglik[5517],-4.306441913,-4.30705,-4.42006,-4.1925155,1.041972202,58,1,0
loglik[5519],-4.928215973,-4.926235,-5.00671625,-4.8568795,1.028989248,78,1,0
loglik[5522],-4.3156856,-4.316235,-4.43044375,-4.19904775,1.041526693,58,1,0
loglik[5523],-4.269467813,-4.27015,-4.381493,-4.1550075,1.043217584,58,1,0
loglik[5528],-11.15215973,-11.1372,-11.89673,-10.4871275,1.039817638,61,1,0
loglik[5530],-5.385149087,-5.38349,-5.39661675,-5.38203,1.010834138,300,1,0
loglik[5532],-4.89402728,-4.8932,-4.95928975,-4.833834,1.034355853,66,1,0
loglik[5533],-7.748909433,-7.743365,-8.0414145,-7.48993775,1.041212843,60,1,0
loglik[5536],-4.472825507,-4.470935,-4.616554,-4.3297575,1.029216495,80,1,0
loglik[5537],-4.45003604,-4.449295,-4.58421375,-4.31675725,1.032403694,72,1,0
loglik[5539],-5.390281747,-5.38761,-5.4128815,-5.38204475,1.014128698,150,1,0
loglik[5540],-9.260058733,-9.253825,-9.817636,-8.7688315,1.034405956,71,1,0
loglik[5548],-4.896275853,-4.895275,-4.963428,-4.83415075,1.032831741,69,1,0
loglik[5554],-6.401628573,-6.3974,-6.53205875,-6.29340825,1.048151026,54,1,0
loglik[5555],-4.84663798,-4.84598,-4.90140025,-4.79684325,1.038821383,61,1,0
loglik[5557],-4.866408213,-4.86597,-4.9248905,-4.81271475,1.037885308,61,1,0
loglik[5560],-5.88333304,-5.88043,-5.94914675,-5.833267,1.04984983,54,1,0
loglik[5563],-4.269467813,-4.27015,-4.381493,-4.1550075,1.043217584,58,1,0
loglik[5564],-4.463582013,-4.46149,-4.60391325,-4.32277375,1.029998282,78,1,0
loglik[5570],-4.28795494,-4.288435,-4.400892,-4.1729585,1.042702436,58,1,0
loglik[5571],-5.384200567,-5.383045,-5.3925305,-5.38203,1.007197902,700,1,0
loglik[5572],-4.915650173,-4.91381,-4.99107025,-4.84681725,1.029725944,76,1,0
loglik[5575],-4.49131256,-4.489355,-4.64115125,-4.344601,1.027699602,84,1,0
loglik[5576],-9.51387572,-9.50134,-10.0940525,-9.0001385,1.035959033,68,1,0
