"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"79",3.41767,-0.0581389,0.182767,0.0654695,0.137451,7.73036,0.193379
"80",3.38998,-0.064448,0.153437,0.0365338,0.158913,7.7414,0.185592
"81",3.35567,-0.0325997,0.153853,0.0475436,0.184705,8.01097,0.184181
"82",3.30015,-0.0679573,0.160045,0.0159305,0.30438,7.98812,0.193808
"83",3.36699,-0.134044,0.140499,0.00798996,0.223427,7.63453,0.180432
"84",3.32251,-0.119707,0.147583,0.0156762,0.284956,7.83514,0.184197
"85",3.34205,-0.0360615,0.176318,0.0277812,0.186428,7.72224,0.196985
"86",3.38355,-0.0786251,0.161399,0.0492474,0.214058,7.68902,0.193325
"87",3.4172,-0.101555,0.139115,0.0575176,0.188036,7.84777,0.194647
"88",3.23981,-0.0168271,0.162705,0.0487939,0.25205,7.72287,0.183518
"89",3.50271,-0.151605,0.16838,0.0159103,0.0870288,7.83796,0.195384
"90",3.41099,-0.0515954,0.133067,0.0202768,0.158882,7.77207,0.202919
"91",3.31492,-0.0162774,0.159658,0.0373659,0.225049,7.88387,0.185778
"92",3.52412,-0.16077,0.154894,0.0202446,0.110478,7.48875,0.193764
"93",3.43808,-0.140344,0.133171,0.0195091,0.162729,7.71382,0.189566
"94",3.39153,-0.0548209,0.133923,0.0606893,0.151023,7.92032,0.191934
"95",3.35794,-0.130079,0.193014,0.0507967,0.257138,7.83522,0.192658
"96",3.38959,-0.0874315,0.15425,0.0190371,0.159343,7.86992,0.192904
"97",3.35986,-3.67521e-05,0.13594,0.0170424,0.193296,7.81272,0.18444
"98",3.32647,-0.0879147,0.166673,0.04521,0.256316,7.51762,0.194042
"99",3.26536,0.0119938,0.178963,0.0788027,0.274604,7.8698,0.198067
"100",3.37165,-0.0623025,0.162937,0.050288,0.2147,7.73565,0.197803
"101",3.39074,-0.0642748,0.147957,0.0220292,0.1509,7.94865,0.194409
"102",3.29305,-0.0778848,0.159525,0.0152928,0.240801,7.74899,0.193011
"103",3.4548,-0.0825653,0.111008,0.0163421,0.122918,7.73971,0.198344
"104",3.46834,-0.189311,0.164747,0.0291872,0.168705,8.12796,0.189946
"105",3.52766,-0.221885,0.24515,0.00730603,0.127515,7.92104,0.195301
"106",3.33648,0.0013664,0.179601,0.0672663,0.176699,8.02116,0.189511
"107",3.31583,-0.0278392,0.163577,0.0546715,0.218191,7.8995,0.193599
"108",3.30121,0.0037693,0.150536,0.0377895,0.21075,7.90769,0.191969
"109",3.3332,-0.0544589,0.1806,0.0718643,0.241012,7.85202,0.186666
"110",3.42049,-0.137617,0.127077,0.0457093,0.193471,7.7335,0.199495
"111",3.34138,-0.106695,0.155222,0.0526292,0.242929,7.65135,0.194304
"112",3.47391,-0.187905,0.173022,0.0169808,0.155978,7.89388,0.197403
"113",3.42815,-0.0779652,0.162094,0.0638587,0.161162,7.94307,0.186049
"114",3.39778,-0.0468504,0.143533,0.0315383,0.121292,7.98429,0.194055
"115",3.42254,-0.112498,0.185584,0.00806045,0.166494,7.97229,0.1904
"116",3.48568,-0.0569823,0.13227,0.0203942,0.032306,8.14473,0.186421
"117",3.29011,-0.0659384,0.200325,0.0284789,0.264395,7.78282,0.189509
