,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[289],-4.54840348,-4.548165,-4.882125,-4.2418405,1.022060033,130,1,0
loglik[291],-5.39697674,-5.388765,-5.46036525,-5.38204,1.059453316,110,1,0
loglik[294],-5.084761267,-5.08173,-5.35592275,-4.80693275,1.016136835,130,1,0
loglik[296],-8.873893253,-8.817795,-10.05642,-7.93221225,1.015802181,160,1,0
loglik[297],-4.92529444,-4.919105,-5.13083425,-4.773918,1.028789874,120,1,0
loglik[306],-6.678110807,-6.671145,-6.91769825,-6.4908285,1.000389812,1500,1,0
loglik[309],-7.525680313,-7.513205,-7.9197165,-7.237552,1.004688719,570,1,0
loglik[314],-5.77675926,-5.77212,-6.2191015,-5.33480975,1.009400334,220,1,0
loglik[315],-6.083249173,-6.078765,-6.11472275,-6.07518,1.007111923,640,1,0
loglik[317],-4.738279107,-4.73618,-4.93267675,-4.54084975,1.00207839,1500,1,0
loglik[323],-4.681219707,-4.680355,-4.8726445,-4.49294025,1.001483357,1500,1,0
loglik[325],-4.83532358,-4.83275,-5.03434025,-4.62941475,1.00285913,1100,1,0
loglik[341],-5.422991267,-5.421685,-5.751408,-5.09036,1.00816392,250,1,0
loglik[342],-5.388680227,-5.385075,-5.4139125,-5.38203,1.002365947,1500,1,0
loglik[345],-5.214342187,-5.212235,-5.36954075,-5.062654,1.003996101,630,1,0
loglik[346],-4.74969092,-4.74715,-4.945403,-4.5515865,1.002205217,1500,1,0
loglik[350],-5.458150267,-5.454085,-5.5323205,-5.40227575,1.002632934,1500,1,0
loglik[353],-4.90945712,-4.909095,-5.1210045,-4.68861475,1.004047296,620,1,0
loglik[355],-4.438383587,-4.435635,-4.63567175,-4.24970625,1.0005863,1500,1,0
loglik[363],-4.510041707,-4.508425,-4.705485,-4.32265125,1.000452677,1500,1,0
loglik[365],-13.17311593,-13.1183,-15.07891,-11.5635425,1.002916677,690,1,0
loglik[372],-5.48933628,-5.485155,-5.578269,-5.41726275,1.003373224,920,1,0
loglik[386],-5.7965424,-5.79139,-5.83365575,-5.78750475,1.001294525,1500,1,0
loglik[388],-5.052676873,-5.04796,-5.3491045,-4.75547425,1.015073545,170,1,0
loglik[389],-6.100749333,-6.09054,-6.1906575,-6.07522,1.067993365,120,1,0
loglik[390],-6.096974973,-6.086965,-6.1792685,-6.07521,1.073703666,120,1,0
loglik[394],-4.788026933,-4.78225,-4.90700925,-4.70565675,1.025050619,130,1,0
loglik[395],-6.02591534,-6.00777,-6.30313125,-5.846968,1.013387465,180,1,0
loglik[396],-4.830169007,-4.82668,-5.088923,-4.56144975,1.013772798,160,1,0
loglik[398],-4.818158213,-4.812805,-4.94912325,-4.720811,1.023806902,140,1,0
loglik[401],-4.83859302,-4.83516,-5.10463175,-4.5587355,1.014338279,160,1,0
loglik[402],-3.994114673,-3.99358,-4.30489275,-3.688856,1.018618929,150,1,0
loglik[407],-4.482083707,-4.48377,-4.72734275,-4.23696925,1.014186065,150,1,0
loglik[408],-5.40703344,-5.403205,-5.4538135,-5.38348425,1.016450291,160,1,0
loglik[409],-5.920032453,-5.91231,-6.07522325,-5.824715,1.017715012,150,1,0
loglik[417],-4.32422626,-4.32554,-4.4872565,-4.151396,1.012643069,180,1,0
loglik[423],-10.73039763,-10.70145,-11.70929,-9.921305,1.013554682,170,1,0
loglik[424],-4.749755873,-4.73989,-4.855131,-4.69276325,1.008270737,330,1,0
loglik[428],-3.496932693,-3.497935,-3.6823725,-3.31145525,1.010674127,240,1,0
loglik[429],-4.709424667,-4.703755,-4.75671425,-4.68896475,1.007196646,440,1,0
loglik[430],-4.73347552,-4.72546,-4.81485225,-4.69059475,1.008074714,350,1,0
loglik[431],-7.932923067,-7.93117,-8.32763675,-7.58215225,1.008728671,250,1,0
loglik[433],-4.70047196,-4.696035,-4.7322705,-4.6889,1.005935036,580,1,0
loglik[434],-3.528937153,-3.53092,-3.6877115,-3.37481475,1.010640043,250,1,0
loglik[435],-6.127705067,-6.10619,-6.5519145,-5.7940645,1.009373242,270,1,0
loglik[439],-5.93189988,-5.918715,-6.228507,-5.695427,1.009383136,280,1,0
loglik[445],-4.705086167,-4.7001,-4.74535975,-4.68894,1.006788659,480,1,0
loglik[452],-3.37620736,-3.378615,-3.5931595,-3.16089475,1.010614676,240,1,0
loglik[454],-3.639514173,-3.640545,-3.8139325,-3.46928975,1.010684483,250,1,0
loglik[460],-3.650926087,-3.65247,-3.82229525,-3.48454975,1.010682596,250,1,0
loglik[461],-4.05034152,-4.048175,-4.17238325,-3.926876,1.009760817,220,1,0
loglik[464],-4.754293213,-4.743855,-4.8665565,-4.69362325,1.008305481,320,1,0
loglik[472],-3.593866887,-3.59516,-3.77662025,-3.4117775,1.010678558,240,1,0
loglik[485],-4.8666856,-4.865225,-4.95195,-4.787816,1.011636867,180,1,0
loglik[491],-4.461168787,-4.460025,-4.64955925,-4.25827225,1.01313656,170,1,0
loglik[499],-5.954587273,-5.94879,-6.07783775,-5.86661375,1.014075263,170,1,0
loglik[501],-5.834575247,-5.8279,-5.92746175,-5.7898495,1.020300134,140,1,0
loglik[503],-4.620934887,-4.620015,-4.8527955,-4.37769425,1.0131039,170,1,0
loglik[508],-6.269427107,-6.26763,-6.4459085,-6.120501,1.009077061,230,1,0
loglik[509],-4.741566587,-4.739725,-4.7815905,-4.70946225,1.010468955,200,1,0
loglik[513],-10.95818748,-10.9002,-12.7631525,-9.518148,1.010204822,310,1,0
loglik[517],-6.669520447,-6.64785,-7.07438475,-6.3988565,1.012577985,300,1,0
