"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"loglik[473]",-4.36604506666667,-4.36435,-4.54924925,-4.1980545,1.00629223630428,320,0,1
"loglik[474]",-6.10400974,-6.098885,-6.3357115,-5.92382225,1.00005839127036,1500,0,1
"loglik[477]",-5.38679370666667,-5.38475,-5.40300675,-5.38203,1.00280922075626,760,0,1
"loglik[479]",-4.36238801333333,-4.36085,-4.543472,-4.1962805,1.00637329531897,320,0,1
"loglik[487]",-4.31484497333333,-4.313515,-4.453233,-4.18394775,1.00740480420294,270,0,1
"loglik[489]",-4.2929021,-4.29129,-4.40957375,-4.17586225,1.00761881764439,260,0,1
"loglik[492]",-4.85257199333333,-4.850525,-4.923145,-4.79396975,1.00764794714145,260,0,1
"loglik[493]",-4.33678777333333,-4.335325,-4.492805,-4.18869,1.00695791893455,290,0,1
"loglik[496]",-4.87806801333333,-4.875035,-4.976153,-4.79974675,1.00642835473738,310,0,1
"loglik[497]",-4.35873083333333,-4.35721,-4.53707575,-4.19519525,1.0064552987954,310,0,1
"loglik[498]",-4.80576765333333,-4.804185,-4.855002,-4.764097,1.00327272029461,610,0,1
"loglik[499]",-4.36604506666667,-4.36435,-4.54924925,-4.1980545,1.00629223630428,320,0,1
"loglik[502]",-4.82569031333333,-4.823705,-4.87522775,-4.782105,1.00714038880464,290,0,1
"loglik[512]",-4.24802916,-4.24616,-4.36407675,-4.1374975,1.00753135097731,270,0,1
"loglik[516]",-4.85610511333333,-4.85359,-4.92912525,-4.794848,1.00746028414901,270,0,1
"loglik[520]",-4.35507368,-4.35344,-4.52953075,-4.19543875,1.00653851089245,310,0,1
"loglik[523]",-4.21026643333333,-4.20912,-4.31755825,-4.10561625,1.00439374418739,460,0,1
"loglik[525]",-4.23340040666667,-4.23064,-4.34432775,-4.12680175,1.00712043446796,280,0,1
"loglik[528]",-4.14365580666667,-4.14172,-4.2487345,-4.039459,1.00611501768709,330,0,1
"loglik[532]",-4.79940159333333,-4.797975,-4.84361125,-4.76057375,1.00483145178368,420,0,1
"loglik[540]",-4.86147399333333,-4.85923,-4.94037425,-4.79533325,1.00720967045644,280,0,1
"loglik[541]",-4.289245,-4.28734,-4.404851,-4.17446275,1.00761382427568,270,0,1
"loglik[542]",-5.39909058666667,-5.397555,-5.42467775,-5.38360475,1.0027833541318,720,0,1
"loglik[543]",-4.84652876666667,-4.84201,-4.9584125,-4.760879,1.00571336408395,350,0,1
"loglik[545]",-4.08148429333333,-4.08301,-4.208625,-3.95922425,1.00161335545114,1200,0,1
"loglik[546]",-4.0961128,-4.09641,-4.2178635,-3.98228175,1.00244649010186,820,0,1
"loglik[547]",-7.69501418666667,-7.6861,-8.11182775,-7.31552,1.00624386211408,320,0,1
"loglik[548]",-7.08859535333333,-7.07975,-7.427438,-6.7848765,1.00579899640103,350,0,1
"loglik[550]",-4.10342714666667,-4.101995,-4.2179955,-3.9919015,1.00295009411761,680,0,1
"loglik[553]",-4.86435696666667,-4.861655,-4.955716,-4.791316,1.00669073884187,300,0,1
"loglik[556]",-5.39376832666667,-5.389345,-5.42741125,-5.38205,1.00310635936118,650,0,1
"loglik[557]",-4.13999855333333,-4.13884,-4.2443725,-4.036269,1.00585444821933,340,0,1
"loglik[561]",-4.74983998666667,-4.74282,-4.83844925,-4.6947895,1.00025529898492,1500,0,1
"loglik[562]",-7.92998455333333,-7.92082,-8.36562775,-7.5324675,1.00624909205971,320,0,1
"loglik[566]",-4.33095234,-4.32925,-4.49813825,-4.17402325,1.00670655778682,300,0,1
"loglik[567]",-4.19485596,-4.193195,-4.3179225,-4.073305,1.00758381773183,270,0,1
"loglik[571]",-4.34192365333333,-4.340405,-4.5202705,-4.17839525,1.00645577679639,310,0,1
"loglik[574]",-7.49450190666667,-7.49012,-7.79769425,-7.217775,1.00700545683098,290,0,1
"loglik[575]",-5.38708695333333,-5.384435,-5.40623375,-5.38203,1.00509956071763,1500,0,1
"loglik[578]",-4.21679873333333,-4.21486,-4.36130575,-4.08160975,1.00727086558104,280,0,1
"loglik[579]",-4.15462728,-4.1519,-4.2629755,-4.04875475,1.00678375295903,300,0,1
"loglik[584]",-5.99606576,-5.99301,-6.11035275,-5.89999125,1.00676159661714,300,0,1
"loglik[586]",-4.849163,-4.8466,-4.9294205,-4.78276275,1.0070511157336,290,0,1
"loglik[587]",-4.17369492,-4.175435,-4.29784925,-4.05306275,1.00179920131496,1100,0,1
"loglik[590]",-4.2943807,-4.29283,-4.4285005,-4.16560025,1.00746234548265,270,0,1
"loglik[591]",-4.25337019333333,-4.25185,-4.43171575,-4.08983525,1.00645532761267,310,0,1
"loglik[596]",-7.13316941333333,-7.1273,-7.450975,-6.8534985,1.00637471626947,320,0,1
"loglik[600]",-4.11682758666667,-4.10414,-4.65728175,-3.6528155,1.04567389805976,54,0,1
"loglik[603]",-4.20872268,-4.214695,-4.644688,-3.7759085,1.05294847775161,43,0,1
"loglik[610]",-4.17293636,-4.166515,-4.42591625,-3.94003625,1.01326167922945,220,0,1
"loglik[617]",-4.23804262666667,-4.232395,-4.4817065,-4.01984175,1.01681706079284,180,0,1
"loglik[618]",-4.31253019333333,-4.30518,-4.55663475,-4.10583425,1.02685663840637,120,0,1
"loglik[619]",-4.18728136666667,-4.18166,-4.44031125,-3.952435,1.01285139411676,230,0,1
"loglik[621]",-6.52943442,-6.523965,-6.8297815,-6.28091825,1.01857726638759,160,0,1
"loglik[626]",-4.12783688,-4.12443,-4.44622575,-3.82886275,1.00638483000844,420,0,1
"loglik[630]",-6.91167948,-6.902655,-7.29909725,-6.58294525,1.02757157447516,110,0,1
"loglik[631]",-5.3893461,-5.385315,-5.41965975,-5.38203,1.03926170468121,110,0,1
"loglik[635]",-4.41437156,-4.40884,-4.68408575,-4.1767525,1.02424408004871,130,0,1
"loglik[641]",-4.25273658666667,-4.244935,-4.4872755,-4.04087225,1.01870717172006,160,0,1
"loglik[645]",-4.95978377333333,-4.953305,-5.13502675,-4.82543825,1.0220981136103,140,0,1
"loglik[666]",-4.38600062,-4.38158,-4.65615325,-4.142527,1.02369246333064,130,0,1
"loglik[668]",-4.11013719333333,-4.10673,-4.42852575,-3.81116275,1.00638482523786,420,0,1
"loglik[678]",-4.38967420666667,-4.385145,-4.66338275,-4.14274425,1.02340842291113,130,0,1
"loglik[685]",-4.37865359333333,-4.37312,-4.64836575,-4.14103725,1.02424408041784,130,0,1
"loglik[691]",-7.78176440666667,-7.77783,-8.318115,-7.28385025,1.02764409541114,110,0,1
"loglik[694]",-4.3162037,-4.309085,-4.560134,-4.10873025,1.0268780131613,120,0,1
"loglik[699]",-4.36294252,-4.356875,-4.60662575,-4.15271975,1.02680030017891,120,0,1
"loglik[702]",-5.38954901333333,-5.38578,-5.4168305,-5.38204,1.05062682590352,88,0,1
"loglik[705]",-5.84776841333333,-5.839415,-5.9551305,-5.78859475,1.03212342180348,100,0,1
"loglik[709]",-4.4474334,-4.44384,-4.737224,-4.17982725,1.02163279860717,140,0,1
"loglik[714]",-4.85470879333333,-4.84903,-4.97762875,-4.76873925,1.02659763131973,130,0,1
"loglik[727]",-4.87557082,-4.868145,-4.99703825,-4.7827325,1.02334943490128,140,0,1
"loglik[731]",-4.83489641333333,-4.82775,-4.94661775,-4.752532,1.02332854197199,140,0,1
"loglik[737]",-4.88331744666667,-4.877005,-5.01929125,-4.78480325,1.02629564321639,120,0,1
"loglik[745]",-5.84662906,-5.838215,-5.95394525,-5.788319,1.03205651115311,100,0,1
"loglik[747]",-5.38923255333333,-5.385355,-5.4186625,-5.38203,1.04019467826045,100,0,1
"loglik[755]",-4.3162037,-4.309085,-4.560134,-4.10873025,1.0268780131613,120,0,1
"loglik[756]",-5.39143543333333,-5.386035,-5.42975975,-5.38204,1.03180276460265,160,0,1
"loglik[759]",-4.43600482666667,-4.428885,-4.679934,-4.22853025,1.02687798001667,120,0,1
"loglik[761]",-4.81660298666667,-4.81005,-4.931051,-4.73522,1.01860835279737,180,0,1
"loglik[763]",-4.93881778,-4.932175,-5.09403125,-4.82298725,1.02497304170003,130,0,1
"loglik[777]",-4.46596747333333,-4.463245,-4.92467575,-4.00701875,1.04357255706263,52,0,1
"loglik[778]",-4.21739105333333,-4.211935,-4.45006775,-4.00451975,1.0110992859075,250,0,1
"loglik[779]",-4.83503758666667,-4.830135,-4.95105475,-4.748725,1.0127553394102,250,0,1
"loglik[780]",-4.28883820666667,-4.283565,-4.5211625,-4.07874675,1.01158818296733,240,0,1
"loglik[782]",-4.23188870666667,-4.227565,-4.46065625,-4.02853325,1.01312381737941,210,0,1
"loglik[784]",-4.30297692,-4.300225,-4.5425535,-4.0845095,1.00926928415502,290,0,1
"loglik[785]",-4.32508208666667,-4.31804,-4.544568,-4.1292495,1.01699762878935,170,0,1
"loglik[786]",-4.35371852666667,-4.347985,-4.5736735,-4.15855175,1.01642933294872,170,0,1
"loglik[787]",-6.65627648,-6.631875,-7.16401275,-6.28130875,1.00127378972169,1500,0,1
"loglik[788]",-4.33922084666667,-4.33486,-4.56496975,-4.1378145,1.01419678470784,200,0,1
"loglik[790]",-4.39394565333333,-4.38776,-4.6181415,-4.204495,1.02611616014789,110,0,1
"loglik[792]",-6.40006504,-6.392525,-6.64315875,-6.201693,1.02717531836394,110,0,1
"loglik[793]",-4.40948424666667,-4.403885,-4.6627675,-4.18347125,1.02654098198734,110,0,1
"loglik[800]",-4.48818016666667,-4.483185,-4.7487785,-4.252445,1.02593665598968,110,0,1
"loglik[802]",-4.43743838,-4.431255,-4.66953825,-4.2328845,1.02776362896484,110,0,1
"loglik[805]",-4.40844323333333,-4.40095,-4.6365375,-4.2137345,1.02708641811815,110,0,1
"loglik[806]",-4.35874267333333,-4.351965,-4.589212,-4.15801025,1.02769670411689,110,0,1
"loglik[808]",-4.89198116666667,-4.885515,-5.02680675,-4.79270225,1.02810106442176,110,0,1
"loglik[811]",-4.31887430666667,-4.31345,-4.54262775,-4.129568,1.02547098487557,120,0,1
"loglik[817]",-4.91321299333333,-4.90674,-5.0700975,-4.7937685,1.02537426409449,120,0,1
"loglik[820]",-5.39190363333333,-5.386635,-5.432441,-5.38204,1.03437083280944,150,0,1
"loglik[827]",-4.91928292,-4.914095,-5.053075,-4.8158695,1.02860128434782,110,0,1
"loglik[833]",-4.89627495333333,-4.89029,-5.02049925,-4.80471275,1.02858390975385,110,0,1
"loglik[834]",-4.28123046,-4.27882,-4.533382,-4.0494845,1.00692013154386,380,0,1
"loglik[842]",-4.46022592666667,-4.4561,-4.75621525,-4.1904675,1.02331793165984,120,0,1
"loglik[848]",-4.50992646,-4.50492,-4.79254425,-4.25404225,1.02455461337266,120,0,1
"loglik[850]",-4.37908932666667,-4.372275,-4.5958875,-4.1893625,1.02037924227394,140,0,1
"loglik[851]",-4.81892383333333,-4.81287,-4.9434325,-4.730269,1.00833009024968,380,0,1
"loglik[853]",-5.40204643333333,-5.39694,-5.45167725,-5.38208,1.01458361766099,230,0,1
"loglik[854]",-4.34682846,-4.340015,-4.56362275,-4.1571025,1.02037903192406,140,0,1
"loglik[856]",-5.38763034,-5.38468,-5.41128575,-5.38203,1.04723223470972,110,0,1
"loglik[859]",-4.44831164666667,-4.44427,-4.68304275,-4.238975,1.02763213804528,110,0,1
"loglik[861]",-8.66460913333333,-8.652965,-9.4099505,-7.9871565,1.02705383121696,110,0,1
"loglik[863]",-7.33981548666667,-7.33795,-7.75741275,-6.95533975,1.0257866585139,110,0,1
"loglik[867]",-5.93413309333333,-5.92914,-6.073029,-5.82478275,1.02045455916162,140,0,1
"loglik[869]",-7.38379406666667,-7.37343,-7.8551425,-6.9665915,1.02706328704296,110,0,1
"loglik[878]",-4.28501308666667,-4.28364,-4.79129975,-3.8160985,1.04028375838173,55,0,1
"loglik[882]",-4.2874011,-4.28654,-4.806793,-3.813651,1.04063571942324,54,0,1
"loglik[884]",-4.31849932666667,-4.31695,-4.482858,-4.1590965,1.00914396686332,220,0,1
"loglik[885]",-4.35764728666667,-4.357915,-4.49123325,-4.22799925,1.01402409240972,140,0,1
"loglik[886]",-7.5096906,-7.499775,-7.872128,-7.19382725,1.01037873632512,200,0,1
"loglik[890]",-7.0971411,-7.09037,-7.4442385,-6.80305075,1.00886000631955,240,0,1
"loglik[891]",-4.87455889333333,-4.87344,-4.940252,-4.815308,1.01507952931107,130,0,1
"loglik[905]",-8.18510359333333,-8.179925,-8.594455,-7.79393225,1.02300688800599,91,0,1
"loglik[907]",-4.5071211,-4.504555,-4.67101125,-4.35943,1.02419129254385,91,0,1
"loglik[911]",-4.39323622666667,-4.39126,-4.513166,-4.278649,1.02074558421224,99,0,1
