"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma[1]","sigma[2]","phi"
"1462",-4.95614,0.197932,0.367403,0.400062,-0.898414,7.14884,378.221,0.258509
"1463",-4.58807,0.130235,0.40925,0.2961,-1.32732,6.96131,448.132,0.280844
"1464",-4.73408,0.188187,0.388455,0.443485,-0.954712,7.38167,117.193,0.269817
"1465",-4.91828,0.211553,0.367683,0.485147,-0.843679,7.1994,213.295,0.274744
"1466",-4.89725,0.283382,0.444292,0.41587,-1.03659,7.81455,122.535,0.286678
"1467",-5.09297,0.229239,0.263087,0.439775,-0.716561,7.62133,78.8442,0.262929
"1468",-4.91169,0.326083,0.330954,0.414525,-0.883919,7.40574,255.487,0.250961
"1469",-5.27224,0.35339,0.30135,0.353569,-0.601557,7.94827,508.01,0.254902
"1470",-5.06875,0.149793,0.188455,0.431706,-0.66638,7.55626,162.639,0.252775
"1471",-4.92938,0.309109,0.400876,0.370878,-0.960662,7.74664,86.9736,0.263467
"1472",-4.88313,0.22542,0.417762,0.418215,-0.971969,7.46574,141.811,0.268384
"1473",-4.69999,0.157825,0.253882,0.424549,-0.958044,7.58649,233.173,0.269668
"1474",-4.75821,0.0403317,0.366341,0.388682,-1.08139,7.59135,179.146,0.26342
"1475",-4.81336,0.235794,0.336465,0.437205,-1.05908,7.44569,285.605,0.267684
"1476",-4.89164,0.255372,0.428122,0.361217,-0.952534,7.10732,262.771,0.269084
"1477",-4.84869,0.10248,0.324605,0.461255,-0.924484,7.58389,177.792,0.267336
"1478",-4.93287,0.205478,0.368709,0.409215,-0.809236,7.42321,99.3728,0.263502
"1479",-5.09613,0.27909,0.249981,0.509919,-0.86073,7.47647,89.5139,0.287395
"1480",-4.69186,-0.0164046,0.227165,0.386101,-0.97925,7.13795,313.027,0.268116
"1481",-4.98495,0.0292986,0.378458,0.411552,-0.70593,7.51428,131.71,0.265293
"1482",-5.00101,0.219725,0.217105,0.285909,-0.741889,7.15526,652.067,0.260056
"1483",-4.89538,0.233286,0.35565,0.424199,-0.950595,7.45272,344.818,0.282739
"1484",-4.78117,0.213909,0.229104,0.511052,-0.98475,7.4707,451.531,0.27878
"1485",-4.95978,0.281724,0.392377,0.330049,-0.907141,7.34777,199.525,0.267895
"1486",-5.07855,0.291924,0.408599,0.401549,-0.744077,7.20122,167.649,0.271659
"1487",-4.59814,0.227565,0.188444,0.585495,-1.11562,7.34962,113.478,0.286005
"1488",-4.93486,0.232605,0.347289,0.304763,-0.856338,7.37221,272.778,0.253182
"1489",-5.17702,0.341126,0.323178,0.391498,-0.584033,7.26122,1762.29,0.267672
"1490",-5.17145,-0.000190137,0.27869,0.33924,-0.756952,7.33152,99.2647,0.255159
"1491",-4.95552,0.373785,0.262209,0.402826,-0.750858,7.4364,200.443,0.252127
"1492",-4.91828,0.297009,0.268882,0.373997,-0.874041,7.62546,1185.02,0.264198
"1493",-5.01229,0.196604,0.280292,0.379167,-0.78121,7.45628,948.931,0.262369
"1494",-4.64751,-0.0492866,0.326303,0.420496,-1.04149,7.34283,128.273,0.276915
"1495",-4.99142,0.338681,0.386765,0.450151,-0.743766,7.65036,6493.69,0.268915
"1496",-4.84906,0.0401757,0.380973,0.400811,-0.90384,7.51922,170.74,0.262137
"1497",-4.86114,0.385281,0.340649,0.446268,-0.761985,7.36838,440.236,0.27626
"1498",-5.17317,0.36993,0.361562,0.389114,-0.73629,7.59792,156.244,0.273605
"1499",-5.00014,0.25442,0.246205,0.399547,-0.833292,7.35577,176.558,0.252308
"1500",-4.59345,0.114368,0.23828,0.362276,-1.23226,7.25828,162.767,0.280383
