"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma[1]","sigma[2]","phi"
"1234",-4.9154,0.338868,0.276626,0.321992,-0.839307,7.19581,320.447,0.286552
"1235",-5.01294,0.264126,0.317055,0.387794,-0.834742,7.60706,379.192,0.286677
"1236",-4.98231,0.315703,0.317547,0.375559,-0.975954,7.08445,140.196,0.259018
"1237",-5.06179,0.485555,0.13592,0.44931,-0.772034,7.32792,1019.65,0.294238
"1238",-4.57737,0.411475,0.417195,0.357143,-1.1027,7.69557,808.921,0.265967
"1239",-5.0036,0.214193,0.252086,0.384255,-0.768307,7.49264,294.963,0.272225
"1240",-4.87538,0.236892,0.408136,0.31537,-0.940728,7.86128,102.41,0.257513
"1241",-4.72387,0.210364,0.393406,0.386144,-0.993048,7.47108,313.049,0.264837
"1242",-4.66289,-0.0594066,0.297331,0.309786,-1.13657,7.39145,448.208,0.254491
"1243",-4.77495,0.276839,0.25687,0.473776,-0.973146,7.50053,494.674,0.271341
"1244",-4.87059,0.3415,0.252595,0.483345,-0.86736,7.5997,118.054,0.254866
"1245",-4.97029,0.299596,0.360708,0.506,-0.733492,6.96965,84.9405,0.269752
"1246",-4.82738,0.0821246,0.42551,0.344665,-0.813178,7.3336,483.745,0.265706
"1247",-4.93992,0.209931,0.530009,0.46027,-0.931698,7.38645,192.037,0.27501
"1248",-4.93806,0.298729,0.347026,0.520368,-0.651545,7.58018,106.09,0.259226
"1249",-5.11656,0.389996,0.263092,0.322986,-0.70267,7.62679,348.961,0.246383
"1250",-5.17766,0.134102,0.353363,0.359079,-0.624919,7.68912,154.68,0.271257
"1251",-4.87954,0.0710427,0.274787,0.418937,-0.938438,7.28899,220.707,0.247744
"1252",-4.8487,0.227514,0.427624,0.370588,-1.02139,7.8237,93.4891,0.268401
"1253",-4.83963,0.216429,0.249522,0.429311,-1.06644,7.30194,212.428,0.25095
"1254",-4.70459,0.194586,0.273757,0.444048,-1.14187,7.62455,108.455,0.267178
"1255",-4.71818,0.0325941,0.255952,0.443607,-1.02527,7.96897,1197.24,0.262891
"1256",-5.27679,0.376666,0.448334,0.34698,-0.516676,7.2674,135.836,0.267278
"1257",-4.93617,0.0781862,0.385812,0.424206,-0.836741,7.72213,64.7194,0.244676
"1258",-4.77384,0.322417,0.424955,0.359425,-0.994272,7.25486,227.24,0.245297
"1259",-4.81479,0.366355,0.295988,0.403293,-1.0301,7.77885,358.996,0.273446
"1260",-4.64827,0.104676,0.377777,0.422673,-1.17803,7.00035,53.3182,0.26252
"1261",-4.74306,0.233724,0.3823,0.393749,-1.00777,7.33638,99.8771,0.241425
