"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",3.36242153333333,3.36214499990705,3.27861474360709,3.44573349929075,1.002057715404,1500,1,0
"b[2]",0.562289786,0.560408997857815,0.427169869359113,0.701431499928895,1.00613268953866,430,1,0
"b[3]",-0.0259220753954667,-0.02681435,-0.10923645,0.0585613174999999,1.00341638081579,590,0.276,0.724
"b[4]",-0.109319784531333,-0.1111375,-0.259341475,0.0477258799999999,1.00055115416187,1500,0.0846666666666667,0.915333333333333
"b[5]",-0.0641176310374667,-0.0635782,-0.134523775,0.00797221024999989,1.00032572059944,1500,0.0393333333333333,0.960666666666667
"b[6]",-0.100312783798867,-0.1052395,-0.353697575,0.1611083,1.00094111133056,1500,0.232,0.768
"sigma",0.110516513466667,0.110390999959236,0.103723618238278,0.117849049995768,1.00108881813836,1500,1,0
"phi",0.278797816666667,0.278603999131384,0.258847022715228,0.300236685321424,1.00153663705197,1300,1,0
"bpvalue",0.468666666666667,0,0,1,1.00310019855307,650,0.468666666666667,0.531333333333333
