"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"67",3.8262,0.252396,0.420944,-0.151895,0.212952,-0.609922,0.128214,0.262464,0
"68",3.88578,0.386792,0.333286,-0.0357189,0.215629,-0.608142,0.126151,0.276841,1
"69",3.8272,0.252858,0.398263,-0.141089,0.188709,-0.600813,0.123853,0.283428,1
"70",3.84907,0.396031,0.392578,-0.0396345,0.265903,-0.723392,0.122726,0.285817,1
"71",3.75211,0.287434,0.43473,-0.179958,0.194585,-0.566575,0.129154,0.272837,1
"72",3.74916,0.23997,0.289257,0.110426,0.219349,-0.51861,0.132946,0.260796,1
"73",3.76046,0.468391,0.31453,-0.00899492,0.259144,-0.580085,0.138691,0.262075,1
"74",3.8536,0.319444,0.356151,0.0206999,0.253682,-0.642166,0.120545,0.252074,1
"75",3.68131,0.399659,0.393404,-0.151182,0.202539,-0.546373,0.125727,0.260431,1
"76",3.95302,0.335925,0.335969,-0.108148,0.276088,-0.808025,0.125966,0.272381,0
"77",3.84673,0.285284,0.388831,-0.162326,0.212089,-0.666643,0.126289,0.283281,0
"78",3.70948,0.338105,0.408062,-0.139965,0.190702,-0.489078,0.130775,0.270992,1
"79",3.76847,0.39748,0.28251,-0.0213883,0.29521,-0.551505,0.121636,0.252132,1
"80",3.90731,0.381819,0.433375,-0.268898,0.230146,-0.687201,0.123277,0.271117,1
"81",3.75822,0.290735,0.372692,-0.0993314,0.248708,-0.564701,0.121476,0.274845,0
"82",3.76601,0.493356,0.370174,-0.00787175,0.205171,-0.604969,0.119777,0.274943,0
"83",3.88463,0.337651,0.384832,-0.127933,0.186165,-0.663426,0.129775,0.282064,0
"84",3.81987,0.382966,0.382632,-0.0182575,0.199175,-0.557743,0.127355,0.266144,1
"85",3.69922,0.363743,0.31785,-0.0428874,0.19536,-0.558475,0.129177,0.256564,1
"86",3.78216,0.362733,0.355634,-0.0598199,0.267057,-0.57163,0.128423,0.270598,0
"87",3.84936,0.272999,0.272392,-0.0812748,0.163945,-0.628876,0.124087,0.261639,1
"88",3.90744,0.256164,0.312475,-0.0384006,0.269724,-0.735171,0.128334,0.268859,1
"89",3.86205,0.380536,0.370433,-0.0586728,0.261305,-0.68573,0.129054,0.255282,1
"90",3.89542,0.379102,0.422051,-0.226592,0.173286,-0.747247,0.132458,0.265777,1
"91",3.74039,0.267216,0.359393,-0.0694888,0.245954,-0.520378,0.122936,0.277961,1
"92",3.79956,0.387745,0.36047,-0.24596,0.195577,-0.564597,0.120763,0.261861,1
"93",3.82512,0.454098,0.398476,-0.0690073,0.252529,-0.712551,0.127866,0.278829,1
"94",3.85417,0.397027,0.308465,-0.0248968,0.265542,-0.640605,0.124404,0.257381,0
"95",3.89153,0.205703,0.373894,-0.146247,0.179959,-0.656836,0.13393,0.277017,1
"96",3.88863,0.298161,0.282375,-0.0312401,0.253014,-0.714148,0.132237,0.282326,1
"97",3.75164,0.295576,0.410802,-0.162244,0.228735,-0.570732,0.131636,0.258865,0
"98",3.80203,0.252557,0.410813,-0.195692,0.245038,-0.614459,0.120304,0.265242,0
"99",3.88146,0.327712,0.248236,-0.11337,0.214001,-0.646365,0.120842,0.256546,1
"100",3.84353,0.165719,0.383946,-0.109842,0.179126,-0.56162,0.125981,0.281887,1
"101",3.81484,0.43963,0.381687,-0.0775745,0.238132,-0.689627,0.12475,0.253881,0
"102",3.88981,0.400148,0.443743,-0.293051,0.192515,-0.722305,0.122486,0.261687,0
"103",3.73915,0.395219,0.339004,-0.103018,0.200365,-0.525284,0.120016,0.269216,0
"104",3.76373,0.379282,0.293613,-0.0424057,0.253362,-0.571681,0.123352,0.272423,1
"105",3.85886,0.31219,0.351683,-0.149455,0.283623,-0.614394,0.127071,0.265793,0
"106",3.81816,0.396857,0.411217,-0.107852,0.254688,-0.578642,0.125456,0.275791,0
"107",3.8033,0.375383,0.361943,-0.0425045,0.242345,-0.630909,0.130125,0.268806,0
"108",3.72749,0.337689,0.32644,-0.0323669,0.235614,-0.489489,0.12651,0.257563,1
"109",3.75396,0.440794,0.384028,-0.195573,0.246501,-0.624909,0.12642,0.290943,1
"110",3.84756,0.335051,0.414254,-0.133325,0.183538,-0.645355,0.126124,0.265489,0
"111",3.84578,0.250961,0.335886,-0.0162187,0.226927,-0.678007,0.122488,0.272981,1
"112",3.86839,0.355603,0.344056,-0.0305685,0.252421,-0.588874,0.126398,0.265714,0
"113",3.81292,0.402837,0.373879,-0.11965,0.162446,-0.575183,0.13101,0.282789,0
"114",3.78126,0.439413,0.423129,-0.291665,0.259746,-0.536248,0.127782,0.260905,1
