"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","m.phi","var.phi"
"71",3.96241,0.252439,0.329458,0.23335,-0.742314,7.52362,0.262231,0.0391819
"72",3.75046,0.407055,0.245517,0.225004,-0.503063,7.80349,0.263863,0.0254043
"73",3.90892,0.212317,0.350132,0.192729,-0.678023,7.71814,0.262195,0.0354704
"74",3.96874,0.301764,0.366953,0.243651,-0.777722,7.44466,0.263806,0.0206551
"75",3.69073,0.37339,0.366855,0.119803,-0.465359,7.83132,0.267878,0.0324431
"76",3.80962,0.28298,0.256342,0.197899,-0.601125,7.32155,0.262862,0.0157156
"77",3.94658,0.291447,0.26973,0.200476,-0.697349,7.25704,0.278433,0.0214628
"78",3.69237,0.451309,0.338429,0.233554,-0.490721,7.65372,0.280654,0.067522
"79",3.79148,0.247525,0.287936,0.224619,-0.505946,7.38671,0.292445,0.0204603
"80",4.00382,0.211391,0.342517,0.281502,-0.733188,7.52276,0.266608,0.0232116
"81",3.9092,0.275244,0.300637,0.274699,-0.597807,7.47471,0.252804,0.038793
"82",3.84518,0.335039,0.334363,0.252906,-0.677091,7.60648,0.279791,0.0431013
"83",3.74721,0.404791,0.338644,0.256327,-0.536104,7.44495,0.269835,0.046306
"84",3.84381,0.304972,0.329019,0.282717,-0.612811,7.50569,0.280088,0.0430116
"85",4.00506,0.290675,0.421494,0.273873,-0.817982,7.29385,0.270296,0.017676
"86",3.86591,0.300933,0.368826,0.176549,-0.63583,7.5621,0.255878,0.0977954
"87",3.86763,0.356907,0.340668,0.179941,-0.62579,7.40138,0.259883,0.0137
"88",3.89658,0.411439,0.39312,0.281532,-0.700418,7.59559,0.262546,0.0132703
"89",3.92258,0.385278,0.379318,0.213775,-0.701005,7.92374,0.249606,0.0436634
"90",3.87132,0.251597,0.311079,0.230525,-0.660938,7.67683,0.241035,0.0157445
"91",4.0144,0.185897,0.407878,0.192857,-0.806107,7.61011,0.2819,0.0585447
"92",3.82277,0.318679,0.252227,0.286127,-0.599943,7.57773,0.254835,0.0151827
"93",3.96296,0.293627,0.354667,0.249553,-0.755109,7.32103,0.2648,0.0215157
"94",3.99675,0.050119,0.359691,0.203998,-0.690677,7.56804,0.274365,0.0197029
"95",3.97038,0.211661,0.365097,0.199162,-0.678209,7.15732,0.267873,0.017693
"96",3.83189,0.322993,0.353418,0.257431,-0.603822,7.27011,0.270052,0.0174652
"97",3.94271,0.26555,0.373195,0.229651,-0.731974,7.99513,0.281252,0.0179575
"98",3.8659,0.353092,0.303997,0.265171,-0.600402,7.28523,0.243316,0.0143952
"99",3.8969,0.310272,0.332832,0.233021,-0.697413,7.95557,0.246427,0.0144752
"100",3.83776,0.265271,0.369811,0.226134,-0.680704,6.97557,0.262449,0.0173544
"101",3.72892,0.431782,0.354903,0.212142,-0.511852,7.30511,0.282089,0.0204689
"102",3.8413,0.304985,0.377913,0.182428,-0.620662,7.52382,0.262704,0.027182
"103",3.713,0.34662,0.324473,0.192269,-0.52224,7.61414,0.258529,0.0319332
"104",3.93545,0.276381,0.352966,0.183308,-0.806782,7.39633,0.2799,0.0204528
"105",3.85522,0.352291,0.371006,0.145157,-0.628294,7.38302,0.266473,0.0175473
"106",3.66997,0.533102,0.319323,0.230089,-0.424682,7.13895,0.276812,0.0361325
"107",3.87914,0.229236,0.376709,0.19857,-0.713666,7.68656,0.269175,0.0174391
"108",4.03413,0.162113,0.322615,0.230273,-0.841888,7.51393,0.252416,0.0203109
"109",3.86474,0.274914,0.354164,0.242725,-0.688794,7.46226,0.262381,0.0569342
"110",3.75592,0.390898,0.391428,0.241464,-0.591323,7.36294,0.273651,0.0396265
