"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"82",3.87611,0.394408,0.363074,0.254874,-0.698773,7.44696,0.287673
"83",3.85143,0.326748,0.31058,0.259377,-0.65388,7.47991,0.270266
"84",3.79425,0.349764,0.325409,0.217223,-0.577675,7.62853,0.256263
"85",3.71645,0.414694,0.376825,0.275861,-0.56435,7.58458,0.258487
"86",3.92457,0.190985,0.336561,0.210757,-0.688161,7.36142,0.272402
"87",3.81021,0.309147,0.367084,0.271013,-0.626585,8.04809,0.286973
"88",3.85469,0.391681,0.287066,0.262429,-0.681926,7.39368,0.259136
"89",3.80154,0.324376,0.317551,0.188952,-0.66011,7.51697,0.293924
"90",3.92297,0.225144,0.311681,0.196712,-0.661455,7.20787,0.271106
"91",3.91898,0.354281,0.308164,0.272936,-0.74724,7.66525,0.280476
"92",3.92945,0.163742,0.375222,0.182141,-0.663225,6.94994,0.262129
"93",3.81576,0.290993,0.336781,0.222873,-0.559668,7.29554,0.268376
"94",3.9579,0.254401,0.346535,0.220389,-0.724804,8.02697,0.263472
"95",3.99404,0.3195,0.389952,0.224479,-0.790812,8.21409,0.281111
"96",3.85004,0.396662,0.283065,0.2795,-0.606563,7.28692,0.259647
"97",3.89972,0.169756,0.287847,0.231937,-0.669355,7.63652,0.273262
"98",3.79481,0.315549,0.317436,0.271027,-0.53658,7.50693,0.260623
"99",3.87945,0.328278,0.268303,0.233435,-0.651951,7.15205,0.259527
"100",3.86151,0.264663,0.354708,0.225143,-0.677043,7.20999,0.250263
"101",3.85547,0.295406,0.361001,0.22771,-0.644255,7.75135,0.278455
"102",3.86654,0.322367,0.339743,0.195791,-0.651681,7.24076,0.273135
"103",3.84795,0.33516,0.364445,0.179518,-0.630773,7.20828,0.258545
"104",3.7056,0.350481,0.330823,0.220625,-0.554068,7.22216,0.278898
"105",3.90342,0.344092,0.310997,0.201817,-0.647319,7.75322,0.259911
"106",3.85238,0.293066,0.312794,0.263655,-0.641843,7.62171,0.281927
"107",3.97934,0.270818,0.333137,0.226496,-0.719739,7.6496,0.293964
"108",3.76941,0.218521,0.346527,0.225026,-0.531999,7.56361,0.25649
"109",3.72745,0.341819,0.378371,0.195164,-0.560642,7.62414,0.268099
"110",3.92697,0.256451,0.288499,0.267856,-0.749233,7.53137,0.26044
"111",3.76508,0.273416,0.308271,0.244651,-0.577478,7.35485,0.27398
"112",3.79173,0.337216,0.341719,0.207348,-0.575761,7.70504,0.27396
"113",3.89412,0.18154,0.393383,0.20916,-0.701674,7.38824,0.263909
"114",3.82021,0.302027,0.285696,0.268762,-0.573469,7.77176,0.246475
"115",3.94204,0.256359,0.33249,0.252837,-0.73909,7.3793,0.259842
"116",3.87183,0.266972,0.360476,0.25956,-0.689204,7.31281,0.266663
"117",3.7818,0.377751,0.342587,0.167099,-0.616567,7.58534,0.253712
"118",3.88167,0.169031,0.266454,0.255442,-0.672833,7.57052,0.260744
"119",3.98487,0.270514,0.289738,0.230936,-0.753106,7.45072,0.26249
"120",3.91316,0.213486,0.328307,0.217824,-0.696996,7.36319,0.288203
"121",3.92537,0.243557,0.326487,0.239442,-0.735929,7.54943,0.262589
"122",3.84969,0.284146,0.333636,0.264662,-0.636859,7.79983,0.26892
"123",3.81414,0.335664,0.348607,0.273962,-0.638251,7.38566,0.262259
"124",3.763,0.342934,0.319959,0.250336,-0.572833,7.48879,0.252472
"125",3.7756,0.473038,0.387816,0.211867,-0.607521,7.57793,0.291893
"126",3.86318,0.230547,0.279206,0.29626,-0.644398,7.63029,0.280563
"127",3.99631,0.102874,0.412081,0.25375,-0.719154,7.57795,0.258711
"128",3.88012,0.422121,0.314965,0.263273,-0.699259,7.66479,0.280562
"129",3.85475,0.282851,0.391931,0.214246,-0.572118,7.24552,0.276572
"130",3.9188,0.38074,0.377541,0.222032,-0.737667,7.59494,0.262561
"131",3.69282,0.340008,0.368285,0.230471,-0.489921,7.74502,0.264298
"132",3.73045,0.3107,0.362963,0.254868,-0.559147,7.40663,0.273269
"133",3.95873,0.180174,0.329697,0.198504,-0.770574,7.5316,0.246478
"134",3.98285,0.175015,0.303833,0.275836,-0.714576,7.47741,0.258574
"135",3.7848,0.361193,0.416049,0.225014,-0.618622,7.39657,0.272122
"136",4.05812,0.118714,0.350026,0.180805,-0.812824,7.27522,0.282496
"137",3.90947,0.341478,0.322725,0.250443,-0.701364,7.47451,0.254702
"138",4.04017,0.218731,0.337765,0.253802,-0.787507,7.40248,0.264676
"139",3.80675,0.278108,0.384735,0.23147,-0.675318,7.41635,0.273066
"140",3.9047,0.335664,0.397363,0.197857,-0.754502,7.75188,0.275798
"141",3.86763,0.282947,0.398375,0.199937,-0.693179,7.25316,0.259155
"142",3.80356,0.418757,0.270438,0.235069,-0.545578,6.96869,0.256818
"143",3.88209,0.272651,0.329234,0.222827,-0.700679,7.30813,0.288449
"144",3.95877,0.199414,0.366194,0.192531,-0.73054,7.94376,0.288601
"145",3.82511,0.305755,0.294622,0.269311,-0.571346,7.51614,0.253014
"146",3.95795,0.349645,0.330328,0.248787,-0.772687,7.85944,0.275335
"147",3.71623,0.423105,0.346405,0.282298,-0.585269,7.47502,0.276939
"148",3.85385,0.324373,0.31921,0.180262,-0.615719,7.81002,0.267371
"149",3.78061,0.33902,0.344079,0.19563,-0.511083,7.43814,0.265966
"150",3.88465,0.372141,0.298074,0.260166,-0.692779,7.53193,0.276634
"151",3.89011,0.287753,0.307951,0.217705,-0.676584,7.26257,0.242507
"152",3.7149,0.399102,0.29357,0.249301,-0.494751,7.36215,0.262136
