"","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",3.9743949977072,3.81209175801579,4.12494271275613,1.00214842618571,930,1,0
"b[2]",0.1104365,-0.02123463,0.242595225,1.00029489533105,1500,0.95,0.05
"b[3]",0.334161998741628,0.260167881009722,0.408406475905456,1.0012610099983,1500,1,0
"b[4]",0.233718499909613,0.168684349500319,0.298893121135929,1.00181336742473,1100,1,0
"b[5]",-0.757712,-0.916265875,-0.6039542,1.00057503610853,1500,0,1
"sigma",7.52086499840278,7.07097931716956,8.03380224261073,1.00152340926452,1300,1,0
"phi",0.267314499894787,0.247025373977876,0.287469246486653,1.00039753060658,1500,1,0
