"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"81",4.013,0.0893128,0.327656,0.221444,-0.743608,7.52445,0.264779
"82",4.03099,0.0125998,0.350287,0.245092,-0.775702,7.47061,0.265888
"83",4.03736,0.106415,0.363028,0.255947,-0.853872,7.5489,0.273228
"84",3.92509,0.144208,0.3266,0.214425,-0.771808,7.29473,0.264165
"85",4.02539,0.0332073,0.292145,0.246674,-0.752064,7.44007,0.268421
"86",3.97697,0.150869,0.273303,0.25362,-0.730525,7.88036,0.268156
"87",4.02723,0.13783,0.350514,0.246289,-0.820857,7.78976,0.263598
"88",4.02442,0.0689799,0.342801,0.258613,-0.723147,7.7683,0.266488
"89",4.02591,0.14169,0.338112,0.207932,-0.801554,7.61121,0.263739
"90",4.00149,0.00323032,0.245408,0.249295,-0.733307,7.61772,0.268933
"91",3.98631,0.174461,0.363683,0.205781,-0.831255,7.6766,0.258446
"92",3.94666,0.0522624,0.339495,0.243285,-0.681435,7.33009,0.269004
"93",3.99605,0.0799232,0.378893,0.186955,-0.776518,7.26397,0.283374
"94",3.88425,0.0547101,0.299462,0.233156,-0.615455,7.79605,0.276871
"95",4.00988,0.0842773,0.317612,0.222045,-0.819734,7.76301,0.274563
"96",4.06462,-0.019332,0.364172,0.231159,-0.748455,7.54132,0.264592
"97",4.11206,0.0608156,0.313026,0.230398,-0.904465,7.42971,0.248044
"98",4.09937,0.129612,0.296898,0.279866,-0.880252,7.88392,0.269528
"99",3.9838,0.0950217,0.2736,0.268813,-0.709334,7.77552,0.285489
"100",4.01933,0.0502345,0.384721,0.219687,-0.794596,7.3104,0.258633
"101",3.96399,0.143838,0.316121,0.265824,-0.804459,7.38593,0.251851
"102",4.0227,0.141646,0.329839,0.139046,-0.872273,7.48243,0.271048
"103",3.9431,0.0518211,0.347063,0.192526,-0.711408,7.45861,0.274982
"104",4.25185,0.00495355,0.317936,0.18925,-0.928517,7.38412,0.256901
"105",4.13142,-0.06203,0.380209,0.21861,-0.839242,7.17876,0.242751
"106",4.14186,-0.0644333,0.350408,0.235646,-0.853389,7.43317,0.278201
"107",3.91619,0.130493,0.348598,0.233832,-0.720162,7.54282,0.244654
"108",3.95469,0.0384187,0.343337,0.280743,-0.663745,7.30505,0.261765
"109",4.052,0.111902,0.385909,0.168749,-0.87561,7.27635,0.274204
"110",3.95737,0.163786,0.354435,0.238594,-0.765046,7.75147,0.260641
"111",3.93836,0.223719,0.2701,0.249503,-0.785613,7.13013,0.262098
"112",4.07183,0.0528235,0.334298,0.259557,-0.843747,7.62681,0.274384
"113",3.90528,0.13359,0.350413,0.224342,-0.764037,7.7047,0.263302
"114",3.93006,0.107624,0.348888,0.213262,-0.768071,7.66164,0.250588
"115",3.99088,0.144239,0.292756,0.257766,-0.728352,7.47691,0.265663
"116",4.05771,0.0815515,0.356103,0.303805,-0.82987,7.52717,0.272695
"117",4.01735,0.0809064,0.377991,0.252533,-0.767141,7.21868,0.268342
"118",4.00267,0.0607072,0.320394,0.199257,-0.782425,8.1381,0.246638
"119",4.01612,0.023601,0.375219,0.221095,-0.681992,7.52589,0.271108
"120",4.03738,0.144683,0.349224,0.262464,-0.818793,7.4437,0.285041
"121",3.89881,0.0497532,0.32246,0.26742,-0.671495,7.83131,0.278288
"122",4.04084,-0.00236758,0.339958,0.271408,-0.842326,7.25043,0.276213
"123",4.01131,-0.040011,0.368941,0.233037,-0.690376,7.12982,0.262941
"124",3.96871,0.114402,0.338121,0.221215,-0.711524,8.09222,0.262377
"125",4.08641,-0.0156651,0.32526,0.238729,-0.80985,7.46604,0.274593
"126",3.98433,0.251601,0.359173,0.184615,-0.88296,7.62623,0.25772
"127",4.06084,-0.0063427,0.392551,0.28313,-0.811928,7.10705,0.266303
"128",3.85857,0.16632,0.271157,0.253258,-0.630016,7.02487,0.297266
"129",4.12436,0.00431078,0.313088,0.178536,-0.775837,7.36851,0.276724
"130",3.94029,0.116224,0.316296,0.22615,-0.707931,7.60257,0.274616
"131",3.95103,0.170075,0.353881,0.211804,-0.834204,7.79121,0.278242
"132",4.0371,0.0394038,0.335296,0.215501,-0.810707,7.20049,0.247506
"133",4.01772,0.0930149,0.307981,0.221745,-0.771515,7.56112,0.274491
"134",3.97737,0.0661675,0.382793,0.173374,-0.855266,7.67608,0.265821
"135",3.95575,0.0717508,0.27294,0.258644,-0.715575,7.45735,0.257208
"136",3.90299,0.134411,0.309611,0.227267,-0.617821,7.59622,0.276594
"137",3.97426,0.0916924,0.325783,0.185725,-0.777253,7.81804,0.26656
"138",3.94928,0.0318611,0.333936,0.21906,-0.702783,7.74326,0.290452
"139",3.98629,0.13732,0.35812,0.281665,-0.812286,7.67657,0.262843
"140",4.02643,0.0805543,0.395147,0.202243,-0.831882,7.83021,0.263551
"141",3.933,0.144502,0.314068,0.20457,-0.685123,7.15096,0.274047
"142",4.04832,0.04893,0.364177,0.285573,-0.80619,7.38861,0.248934
"143",3.82921,0.205486,0.321484,0.237211,-0.635455,7.64537,0.267368
"144",3.97938,0.133095,0.34294,0.230954,-0.76904,7.416,0.259973
"145",3.88592,0.198045,0.261726,0.263715,-0.763023,7.56083,0.261907
"146",4.04642,-0.0195856,0.381774,0.192726,-0.831374,7.70871,0.271507
"147",4.08909,0.0790951,0.331658,0.246405,-0.808933,7.58789,0.264907
"148",4.05313,0.0457408,0.297379,0.178295,-0.890795,7.23947,0.277314
"149",3.99719,0.116501,0.29894,0.19312,-0.836128,7.69003,0.258876
"150",3.76463,0.141328,0.32955,0.177509,-0.56006,7.43116,0.275644
"151",3.95002,0.0792271,0.318381,0.257726,-0.747319,7.50642,0.252054
"152",3.88682,0.224424,0.212572,0.319206,-0.695865,7.84492,0.258458
"153",3.91665,0.159714,0.402953,0.271055,-0.70103,7.61761,0.254061
"154",3.99307,0.130949,0.289701,0.273221,-0.749264,7.875,0.269085
"155",3.99721,0.0506845,0.323131,0.204614,-0.727947,7.98066,0.258671
"156",3.88238,0.0840703,0.336969,0.323241,-0.717461,8.04806,0.268337
"157",3.8443,0.18836,0.321594,0.247817,-0.690685,7.47052,0.280318
"158",3.96138,0.148752,0.373299,0.278699,-0.748601,7.35588,0.255333
"159",3.89542,0.232899,0.332486,0.255941,-0.739155,7.32046,0.278031
"160",3.95832,-0.023523,0.306796,0.208249,-0.655929,7.10062,0.247057
"161",3.89638,0.214273,0.296358,0.250881,-0.751041,7.77224,0.286845
"162",3.66869,0.365472,0.333344,0.22355,-0.555256,7.53971,0.277147
"163",3.86966,0.180245,0.383661,0.233232,-0.736279,7.91331,0.253405
"164",3.91842,0.126885,0.357302,0.22225,-0.742219,7.18129,0.256503
"165",4.05538,0.0243412,0.319824,0.209296,-0.789477,7.10528,0.270762
"166",4.09345,0.0367842,0.357868,0.275627,-0.800637,7.42924,0.26151
"167",4.01492,0.0788782,0.324163,0.303368,-0.79809,7.81262,0.273574
"168",4.03805,0.0911837,0.387453,0.226853,-0.813822,7.39078,0.276545
"169",4.05134,0.0605605,0.270077,0.216275,-0.812015,7.60525,0.272592
"170",3.9004,0.286918,0.31793,0.286554,-0.762149,7.36636,0.257353
"171",4.08632,0.045136,0.381746,0.220454,-0.841379,7.61704,0.272096
"172",3.83359,0.234323,0.323566,0.242438,-0.684043,7.14049,0.277431
"173",3.96802,0.130756,0.385237,0.207513,-0.752772,7.51044,0.248466
"174",3.9116,0.138824,0.310619,0.25177,-0.699726,7.29615,0.276386
"175",3.92984,0.061933,0.35165,0.167419,-0.675099,7.84555,0.276843
"176",3.83242,0.237721,0.35876,0.225105,-0.745453,7.35085,0.251955
"177",4.04249,-0.0101439,0.412347,0.185166,-0.779593,7.50707,0.27863
"178",3.78016,0.261045,0.350903,0.250251,-0.577925,7.66634,0.282427
