"","50%","2.5%","97.5%","Rhat","n.eff","PP"
"b[1]",3.84063499687226,3.7187926035446,3.98403982717663,1.03097815776777,66,1
"b[2]",0.331539499863893,0.191189204396509,0.468414100589366,1.03519641724775,73,1
"b[3]",0.33857349986672,0.260337532291864,0.414799546246547,1.00571800564522,300,1
"b[4]",0.233445998866976,0.175898873881405,0.295113715190551,1.00842295602405,160,1
"b[5]",-0.6320045,-0.8004646,-0.48398295,1.02509790816602,89,0
"sigma",7.50862490649253,7.0308765608163,8.01950716954485,1.0283166658056,68,1
"phi",0.268490994159953,0.247161158084548,0.289113582404699,0.997076505812664,300,1
