"","50%","2.5%","97.5%","Rhat","n.eff"
"b[1]",3.29812499999621,3.20465549873937,3.39544094353551,1.00580460484756,350
"b[2]",0.0646749,-0.0205522425,0.15517615,1.00187486799239,1100
"b[3]",0.150136499979186,0.105705897716384,0.193244617326798,1.00466188793592,430
"b[4]",0.05719015,0.01067825,0.103883325,1.00185262612203,1100
"b[5]",0.205157476354141,0.0959756969442533,0.311090398743059,1.00914150401854,1100
"sigma",7.7732749999598,7.47861948878943,8.09676699879267,1.00529543179744,1000
"phi",0.192200999872529,0.182430096052269,0.201786774925232,1.00380025293011,550
