"","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",-4.889985,-5.207619,-4.5477175,1.01106784139456,380,0,1
"b[2]",0.2219975,-0.001983100825,0.45008775,1.00001604110561,1500,0.973333333333333,0.0266666666666666
"b[3]",0.326960496252988,0.185045241846919,0.473321820340131,1.00366756889407,630,1,0
"b[4]",0.403684499910512,0.300442047404933,0.516334798748132,1.0002228660001,1500,1,0
"b[5]",-0.911694,-1.29010275,-0.5646112,1.01729825957492,250,0,1
"sigma[1]",7.49231499911743,7.04323388223827,7.94813224868067,1.03102868158339,74,1,0
"sigma[2]",189.901996395509,56.3092630134889,3210.42384514569,1.00432139092477,1500,1,0
"phi",0.26526149996183,0.244439297641338,0.285823149984295,1.00257262172299,780,1,0
