"","Stream","indID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"55","Indian","a0900043000135406  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,91,NA,87
"56","Indian","a0900043000135418  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA
"57","Indian","a0900043000135446  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,82,NA,88,NA
"58","Indian","a0900043000135448  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA
"59","Indian","a0900043000135470  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,107,115,122,NA,NA
"60","Indian","a0900043000135476  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA
"61","Indian","a0900043000135492  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA
"62","Indian","a0900043000135510  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA
"63","Indian","a0900043000135528  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,94
"64","Indian","a0900043000135530  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,68,NA,NA
"65","Indian","a0900043000135542  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA
"66","Indian","a0900043000135564  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA
"67","Indian","a0900043000135569  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,70,NA
"68","Indian","a0900043000135570  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA
"69","Indian","a0900043000135572  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,76,NA,NA
"70","Indian","a0900043000135577  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA
