"","Temp_mu_Indian","Temp_mu_Todd"
"1",8.89894883040936,10.552828358209
"2",14.8388148809524,16.5178775252525
"3",19.7980423976608,22.6664336734694
"4",22.5563582089552,24.014468452381
"5",18.141578030303,17.2686695906433
"6",10.4368988095238,9.24689139344262
"7",10.430003030303,11.3947326388889
"8",14.6381334459459,16.3683786231884
"9",19.8538984848485,21.7252884615385
"10",21.8970555555556,22.7684305555556
"11",17.8394619883041,17.8877214912281
"12",9.38064495305164,7.96956455399061
"13",9.786865,10.4324807098765
