"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"74",3.40041,0.51314,-0.127788,-0.11609,-0.140551,6.84779,0.280174
"75",3.38956,0.435635,-0.0788078,-0.0414883,0.0645339,6.51058,0.276223
"76",3.50444,0.457297,-0.0625001,-0.100103,-0.199314,6.79751,0.291167
"77",3.35975,0.463386,-0.0348267,-0.0745059,-0.00808897,6.45576,0.298502
"78",3.3643,0.48266,-0.0438627,-0.0232876,-0.167712,6.28223,0.269401
"79",3.29773,0.505773,-0.0453396,-0.0497616,0.280942,6.49478,0.293976
"80",3.35287,0.577526,-0.0762758,-0.0740324,-0.249954,6.42035,0.282534
"81",3.34115,0.57677,0.00140181,-0.0334621,0.0349467,6.38651,0.289509
"82",3.37209,0.546784,-0.0898775,-0.0300831,0.038975,6.27855,0.262589
"83",3.39612,0.480069,-0.0844505,-0.00701836,-0.0149254,6.51626,0.281021
"84",3.3267,0.633614,-0.112119,-0.116518,-0.0746866,6.64196,0.286432
"85",3.44284,0.494809,-0.0951511,-0.139863,-0.350942,6.46525,0.296228
"86",3.33,0.561686,-0.0544692,-0.0249641,-0.00886391,6.3003,0.271503
"87",3.32859,0.533651,-0.0605356,-0.0440176,-0.0982217,6.48051,0.273197
"88",3.34315,0.541366,-0.0756529,-0.108751,-0.236901,6.49491,0.282072
"89",3.39358,0.496265,-0.0737265,-0.0720489,-0.0836454,6.5936,0.280829
"90",3.37803,0.540384,-0.0941706,-0.0628684,-0.36238,6.82569,0.256739
"91",3.36704,0.572476,-0.0343543,-0.0802193,-0.158065,6.57029,0.290544
"92",3.34793,0.681697,-0.0365844,-0.11459,-0.0761439,6.70839,0.290328
"93",3.43244,0.454519,-3.03341e-05,-0.0597135,0.141131,7.26677,0.297976
"94",3.31792,0.708538,-0.0602691,-0.0390476,0.0261754,6.54533,0.277863
"95",3.358,0.622634,-0.0064531,-0.0742171,-0.070887,6.96423,0.281847
"96",3.29837,0.566054,-0.0678205,-0.0418699,-0.211835,6.99849,0.287266
"97",3.33452,0.586891,-0.0926321,-0.0722347,-0.00864554,6.87986,0.26847
"98",3.40349,0.498532,-0.0131272,-0.0380733,-0.00982254,6.64311,0.299234
"99",3.41682,0.474426,-0.0951842,0.0184798,-0.0128095,6.48698,0.296088
"100",3.43023,0.418687,-0.0579712,-0.0117792,0.0532043,6.73545,0.261912
"101",3.37611,0.556288,-0.0811112,-0.0872393,-0.129086,6.83992,0.277126
"102",3.35304,0.696479,-0.0479883,-0.0649032,-0.0827175,6.95112,0.270618
"103",3.3863,0.473257,-0.0737227,-0.0196782,-0.150779,6.64718,0.266255
"104",3.45906,0.462658,-0.109402,-0.125837,-0.205607,6.95777,0.289564
"105",3.29989,0.619313,-0.0213608,-0.0156764,0.0159806,6.25515,0.282452
"106",3.39602,0.478021,-0.0571673,-0.0529017,0.0546411,7.03241,0.291644
"107",3.35293,0.509346,-0.0738488,-0.0940057,-0.0239956,6.44089,0.286222
"108",3.38017,0.57905,-0.0241116,0.0136227,-0.110453,6.45938,0.274086
"109",3.41081,0.569246,-0.0901887,-0.0493721,-0.279435,6.78144,0.294715
"110",3.3857,0.511517,-0.0536913,-0.0781109,-0.0943017,6.82484,0.262753
"111",3.38446,0.578217,-0.0636045,-0.0495792,-0.0150992,6.54228,0.290565
